,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1642427243911741,Starbucks Coffee,[ Kafe ],False,-6.895942,107.616797," Jl. Dipatiukur No. 42, Dipatiukur, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.11,4.1,4.4,3.3,4.5,4.1,Senin - Minggu (07:00 - 23:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,no,yes,no,no
1,1642427248677608,Lucio Luciano Pattiseries,[ Kafe ],False,-6.893031,107.614474," Jl. Surya Kencana No. 12, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.96,4.1,4.0,3.9,3.8,4.0,"Senin - Sabtu (09:00 - 21:00), Minggu (10:00 - 20:30)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
2,1642427255626566,de.u Coffee,[ Kafe ],False,-6.895913,107.616265," Jl. Dipatiukur No. 23, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.14,4.0,4.4,4.3,4.1,3.9,Senin - Minggu (07:00 - 19:00),"Tunai,Debet",yes,no,yes,yes,no,yes,no,no,yes,no,no
3,1642427260501008,Delapan Padi,[ Kafe ],True,-6.898141,107.61409," Jl. Dipatiukur No. 8, Dipatiukur, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.91,3.6,4.4,3.4,3.8,4.4,Senin - Minggu (08:00 - 21:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
4,1642427268790591,Miluyu Coffee Lounge,[ Kafe ],False,-6.897297847800198,107.61," Jl. Dipatiukur No. 11, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.07,4.2,4.2,4.0,4.0,4.0,"Senin - Kamis (08:00 - 22:00), Jumat - Minggu (08:00 - 23:00)","Tunai,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
5,1642427272041685,Warung Nasi SPG,[ Indonesia ],False,-6.8866641,107.6150238," Jl. Dipatiukur No. 116, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.91,4.6,3.4,4.6,3.4,3.6,Senin - Minggu (09:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
6,1642427275990098,PSY Steamboat Yakiniku,[ Thailand ],False,-6.895039,107.616511," Jl. Hasanudin No. 26, Dipatiukur, Bandung ( Alamat Lama: Jl. Ranggamalela No. 15, Dago Bawah, Bandung ) ", Rp. 100.000 - Rp. 200.000 /orang ,3.88,4.2,3.4,4.1,4.0,3.8,Senin - Minggu (10:00 - 19:00),"Tunai,Visa,Master,Debet",no,no,yes,no,no,yes,no,yes,yes,no,no
7,16424272806352,Kumari,[ Kafe ],False,-6.898202957800474,107.61," Jl. Bagusrangin No. 1, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.04,4.2,4.6,3.8,3.8,3.8,"Senin - Kamis (07:00 - 21:00), Jumat - Sabtu (07:00 - 22:00), Minggu (07:00 - 21:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
8,1642427284812821,Seduh Sembuh,[ Kafe ],True,-6.896594,107.616931," Gedung Graha Ariadi Putra Jl. Haji Wasid No. 29, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.92,4.3,3.6,4.1,3.8,3.9,Senin - Minggu (08:00 - 22:00),not listed,yes,no,yes,yes,no,yes,no,yes,yes,no,no
9,1642427289855701,Kawan,[ Kafe ],True,-6.890705,107.615404," Jl. Imam Bonjol No. 48, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.94,4.0,4.3,3.6,4.0,3.9,Senin - Minggu (08:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
10,164242729353252,Sambal Lalap Wong Solo,[ Indonesia ],False,-6.890954,107.616992," Jl. Dipatiukur No. 51, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.8,4.1,3.1,4.4,3.9,3.5,Senin - Minggu (10:00 - 22:00),Tunai,no,yes,yes,no,no,yes,no,yes,yes,no,no
11,1642427297468759,Becky's Brunch & Dine,[ Kafe ],True,-6.895277,107.613885," Jl. Kyai Gede Utama No. 25, Dipatiukur, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.86,3.5,4.5,3.1,3.9,4.3,Senin - Minggu (09:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
12,1642427303654956,Infinito Disconnect,[ Kafe ],False,-6.897542,107.6158228," Infinito Culinary Jl. Haji Wasid No. 11, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.75,4.2,3.2,4.0,3.8,3.5,Senin - Minggu (10:00 - 21:00),"Tunai,Debet,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
13,1642427308399354,Sei Sapi Lamalera,[ Indonesia ],False,-6.89829,107.617417," Jl. Bagusrangin No. 24A, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.65,4.2,3.1,3.9,3.6,3.5,Senin - Minggu (10:00 - 19:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,no,yes,no,no
14,1642427320303067,Bakmi Jowo DU67,[ Indonesia ],False,-6.8896907,107.6160313," Jl. Dipatiukur No. 67, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.87,4.0,3.7,3.8,3.9,4.0,"Senin - Kamis (11:00 - 22:00), Jumat (13:00 - 22:00), Sabtu - Minggu (11:00 - 22:00)",Tunai,no,no,yes,no,no,yes,no,no,no,no,no
15,1642427324852423,Ayam Geprek Bebas,[ Indonesia ],True,-6.891268,107.616343," Jl. Teuku Angkasa No. 32, Dipatiukur, Bandung ( Alamat Lama: Jl. Teuku Umar No. 60, Dipatiukur, Bandung ) ", Di bawah Rp. 50.000 /orang ,3.7,4.4,3.0,4.4,3.5,3.3,Senin - Minggu (10:00 - 22:00),"Tunai,Debet,Go-pay,Ovo,Dana",no,no,yes,yes,no,yes,no,yes,yes,no,no
16,1642427330339477,Baso Aci Ganteng,[ Indonesia ],False,-6.8958681,107.6188711," Jl. Japati (Area Monumen Perjuangan), Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.77,4.5,3.3,3.9,3.8,3.3,Senin - Minggu (16:00 - 24:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
17,1642427334082544,Betah Space,[ Kafe ],False,-6.898096892102798,107.61," Delapan Padi, Lantai 2 Jl. Dipatiukur No. 8, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.5,4.5,5.0,4.0,4.0,5.0,Senin - Minggu (15:00 - 20:00),Tunai,yes,no,no,no,no,yes,no,no,yes,no,no
18,1642427337084089,Nasi Goreng Simongol,[ Indonesia ],False,-6.897588,107.614425," Jl. Dipatiukur No. 7A, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.05,4.3,3.3,4.5,4.5,3.8,Senin - Minggu (17:00 - 23:00),Tunai,no,no,yes,no,no,yes,no,yes,no,no,no
19,164242733981505,Nasi Goreng Mafia,[ Indonesia ],False,-6.891847,107.61745," Jl. Dipatiukur No. 51, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.65,4.1,3.2,3.8,3.6,3.6,Senin - Minggu (10:00 - 21:00),"Tunai,Debet,Go-pay",yes,no,yes,no,no,yes,no,yes,yes,no,no
20,1642427346701496,Kozi Coffee,[ Kafe ],False,-6.898126,107.61334," Jl. Dipatiukur No. 1, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.9,4.3,4.0,4.0,3.5,3.8,"Senin - Jumat (08:00 - 22:00), Sabtu - Minggu (07:00 - 22:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
21,1642427349036742,Talupa,[ Kafe ],False,-6.890956,107.616198," Jl. Teuku Angkasa No. 38, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.07,4.3,4.3,3.7,4.0,4.0,"Senin - Kamis (12:00 - 21:00), Jumat (13:00 - 21:00), Sabtu - Minggu (12:00 - 21:00)","Tunai,Debet,Go-pay",yes,no,yes,no,no,yes,no,yes,no,no,no
22,1642427350773399,Coffee Bawa,[ Kafe ],False,-6.889839,107.61611," Jl. Dipatiukur No. 67, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.0,4.3,3.5,4.0,4.0,4.3,Senin - Minggu (08:00 - 19:00),"Tunai,Debet",yes,no,yes,yes,no,yes,no,no,yes,no,no
23,1642427353768143,Terminal Coffee,[ Kafe ],False,-6.8946995,107.6150144," Jl. Hasanudin No. 3, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.67,3.0,4.3,3.8,3.6,3.7,Senin - Minggu (10:00 - 21:00),"Tunai,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
24,1642427361339981,Roti Bakar Panjo,[ Indonesia ],False,-6.891984,107.616576," Jl. Teuku Umar (Seberang Ganbatte BBQ & Suki), Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.67,4.1,3.2,3.9,3.7,3.4,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (08:00 - 21:00)","Tunai,Go-pay,Ovo",no,no,yes,no,no,yes,no,no,no,no,no
25,1642427365842573,Red Dimsum,[ China ],False,-6.894151,107.617704," Jl. Dipatiukur (Depan Unpad), Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.76,4.2,3.4,4.2,3.6,3.4,"Senin (18:00 - 24:00), Rabu - Minggu (18:00 - 24:00), Selasa Tutup","Tunai,Go-pay",no,no,yes,no,no,yes,no,no,no,no,no
26,1642427370272195,Bebek Ali Borme,[ Indonesia ],False,-6.891981,107.616854," Jl. Teuku Umar No. 6/60, Dipatiukur, Bandung ( Alamat Lama: Jl. Hasanudin (Sebelah R.S Borromeus), Dipatiukur, Bandung ) ", Di bawah Rp. 50.000 /orang ,3.61,4.0,2.9,4.0,3.9,3.2,Senin - Minggu (11:00 - 23:00),"Tunai,Debet",no,no,yes,no,no,yes,no,no,no,no,no
27,164242737610021,Tree House Cafe,[ Kafe ],False,-6.894667,107.61515," Jl. Hasanudin No. 5, Dipatiukur, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.64,3.6,3.7,3.7,3.8,3.6,"Senin - Jumat (10:00 - 18:00), Sabtu (10:00 - 19:00), Minggu (10:00 - 18:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
28,1642427380808,Habitaas,[ Kafe ],False,-6.890977584989422,107.61," Jl. Raden Patah No. 3, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,5.0,5.0,5.0,5.0,5.0,5.0,Senin - Minggu (09:00 - 21:00),Tunai,not sure,not sure,not sure,yes,no,yes,not sure,not sure,not sure,not sure,no
29,1642427382638612,Khas Rotiselai,[ Kafe ],False,-6.8903410293040315,107.6," Jl. Raden Patah No. 12, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.87,4.3,4.3,3.3,3.7,3.7,"Senin (07:30 - 17:00), Rabu - Minggu (07:30 - 17:00), Selasa Tutup","Tunai,Debet,Go-pay,Ovo",yes,no,no,no,no,yes,no,no,no,no,no
30,1642427385173017,Mie Merapi,[ Indonesia ],False,-6.8913793,107.617413," Jl. Dipatiukur No. 66/116, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,3.7,3.2,4.2,3.6,3.3,Senin - Minggu (11:00 - 20:00),"Tunai,Debet",yes,no,yes,no,no,yes,no,no,no,no,no
31,1642427389090564,Bakso Boedjangan,[ Indonesia ],False,-6.898255,107.613281," Jl. Dipatiukur No. 1, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.54,3.9,3.3,3.7,3.4,3.5,Senin - Minggu (10:00 - 21:59),"Tunai,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
32,1642427393507435,Steak Ranjang,[ Barat ],False,-6.8908471,107.6170586," Jl. Dipatiukur No. 68, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.58,3.9,2.8,4.0,3.8,3.3,Senin - Minggu (11:00 - 21:00),"Tunai,Visa,Master,Debet",no,no,yes,no,no,yes,no,yes,no,no,no
33,1642427398368081,Rumah Makan Bu Tatang,[ Indonesia ],False,-6.889255,107.620948," Jl. Sekeloa Tengah No. 7, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,4.0,5.0,3.5,5.0,3.5,3.0,not listed,Tunai,not sure,not sure,yes,no,no,yes,no,not sure,not sure,no,no
34,1642427400488885,Gado - Gado Teuku Angkasa,[ Indonesia ],False,-6.890522,107.615733," Jl. Teuku Angkasa No. 37, Dipatiukur, Bandung ", Di bawah Rp. 50.000 /orang ,3.68,4.4,3.2,3.8,3.6,3.4,Senin - Minggu (09:00 - 17:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
