,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,162502051603287,Isshin,[ Jepang ],False,-6.177049,106.791359," Central Park, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat ", Rp. 100.000 - Rp. 200.000 /orang ,4.44,4.7,4.3,4.1,4.7,4.5,"Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)","Tunai,Visa,Master,Debet,Go-pay",yes,no,no,no,no,yes,no,yes,yes,no,no
1,1625020527504902,Crematology Coffee Roasters,[ Kafe ],False,-6.188346,106.738013," PX Pavilion, Lantai Ground Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat ", Rp. 100.000 - Rp. 200.000 /orang ,4.19,4.1,4.7,3.7,4.2,4.2,"Senin - Kamis (12:00 - 20:00), Jumat - Minggu (12:00 - 21:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
2,1625020536432033,Padang Merdeka,[ Indonesia ],False,-6.136068,106.814017," Jl. Lada No. 1, Kota, Jakarta Barat ", Rp. 50.000 - Rp. 100.000 /orang ,4.23,4.4,4.2,4.2,4.1,4.3,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,yes,no,no,yes,no,yes,yes,no,no
3,1625020549191972,Kembang Tandjoeng,[ Indonesia ],True,-6.175443,106.803211," Griya Batik Semar, Lantai 1 Jl. Tomang Raya No. 54, Tomang, Jakarta Barat ", Rp. 50.000 - Rp. 100.000 /orang ,4.22,4.2,4.5,4.0,4.1,4.4,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,yes,no,no,yes,yes,yes,yes,no,no
4,1625020558941161,BAWBAW,[ Jepang ],True,-6.16968,106.766835," Jl. Taman Ratu Indah Blok AA2 No. 33, Green Ville, Jakarta Barat ", Rp. 50.000 - Rp. 100.000 /orang ,4.31,4.3,4.7,3.9,4.2,4.3,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",yes,no,yes,no,no,yes,yes,yes,yes,yes,no
5,1625020566912945,Gyu Kaku,[ Jepang ],False,-6.174832,106.789932," Neo Soho Mall, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat ", Di atas Rp. 200.000 /orang ,4.2,4.6,4.1,3.9,4.2,4.3,Senin - Minggu (10:00 - 21:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,no,no,no,yes,no,yes,yes,yes,no
6,1625020577910745,Din Tai Fung Chef's Table,[ China ],True,-6.188299,106.734145," Puri Indah Mall, Lantai 2 Jl. Puri Indah Raya, Puri, Jakarta Barat ", Rp. 100.000 - Rp. 200.000 /orang ,4.27,4.7,4.1,4.1,4.3,4.3,"Senin - Rabu (10:30 - 22:00), Kamis - Minggu (10:00 - 22:00)","Tunai,Visa,Master,Debet",no,no,no,no,no,no,yes,yes,yes,yes,no
7,1625020582842741,Bopan Coffee & Fruit Tee,[ Kafe ],False,-6.1467481,106.7010758," Ruko Seventh Esplanade, Blok B02 No. 7 Jl. Citra Garden 7, Kalideres, Jakarta Barat ", Di bawah Rp. 50.000 /orang ,4.49,4.3,4.2,4.6,4.7,4.7,Senin - Minggu (10:00 - 19:30),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",yes,no,yes,yes,no,yes,no,yes,yes,no,no
8,1625020587933522,Acaraki,[ Kafe ],False,-6.135984,106.812302," Gedung Kerta Niaga 3 Jl. Kali Besar Timur, Kota, Jakarta Barat ", Rp. 50.000 - Rp. 100.000 /orang ,4.29,4.1,4.5,4.1,4.4,4.3,Senin - Minggu (10:00 - 22:00),"Tunai,Debet",yes,no,no,no,no,yes,no,no,no,no,no
9,1625020593988086,Yakiniku Like,[ Jepang ],False,-6.18785,106.738747," St Moritz Mall (Lippo Mall Puri), Lantai Lower Ground, Takeshita Street Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat ", Rp. 100.000 - Rp. 200.000 /orang ,4.21,4.4,4.0,4.3,4.1,4.4,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,no,no,no,yes,no,no,yes,no,no
