,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1625109861505235,Osteria Gia,[ Italia ],True,-6.2248563,106.8097871," Pacific Place Mall, Lantai Ground, East Lobby Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan ", Di atas Rp. 200.000 /orang ,4.48,4.7,4.5,4.1,4.5,4.5,Senin - Minggu (11:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,yes,no,no,no,no,yes,yes,yes,no
1,1625109876487725,The Social Pot,"[ Jepang,Thailand ]",True,-6.2244353,106.8229467," Lotte Shopping Avenue, Lantai 3 Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan ", Rp. 50.000 - Rp. 100.000 /orang ,4.42,4.5,4.4,4.4,4.4,4.4,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,no,yes,yes,yes,no
2,1625109891143379,The Social Pot,"[ Jepang,Thailand ]",False,-6.2658335,106.7849673," Pondok Indah Mall 1, Lantai 2 Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan ", Rp. 50.000 - Rp. 100.000 /orang ,4.43,4.5,4.4,4.3,4.5,4.4,Senin - Minggu (10:00 - 21:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,no,yes,yes,no,no
3,1625109902426235,Namaaz Dining,[ Indonesia ],False,-6.238506,106.806869," Jl. Gunawarman No. 42, Senopati, Kebayoran Baru, Jakarta Selatan ", Di atas Rp. 200.000 /orang ,4.54,4.4,4.6,4.4,4.6,4.7,"Selasa - Sabtu (18:00 - 21:00), Senin dan Minggu Tutup","Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,no,yes,yes,no,no
4,1625109912430144,Holycow! STEAKHOUSE by Chef Afit,[ Barat ],False,-6.240116,106.821611," Food Lab Jl. Kapten Tendean No. 41, Mampang, Jakarta Selatan ", Di atas Rp. 200.000 /orang ,4.7,4.9,4.6,4.6,4.8,4.6,Senin - Minggu (10:00 - 23:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
5,1625109915692599,Steak 21 Buffet,[ Barat ],True,-6.224427,106.823348," Lotte Shopping Avenue, Lantai 3 Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan ", Di atas Rp. 200.000 /orang ,4.44,4.6,4.1,4.3,4.8,4.4,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,no,no,no,yes,no,no,yes,no,no
6,1625109930096594,Animale Restaurant,[ Barat ],False,-6.208085,106.828429," MD Place, Lantai 11 Jl. Setiabudi Selatan No. 7, Setiabudi, Jakarta Selatan ", Di atas Rp. 200.000 /orang ,4.39,4.5,4.6,3.6,4.5,4.8,"Senin - Jumat (12:00 - 15:00, 17:30 - 22:30), Sabtu - Minggu (12:00 - 22:30)","Tunai,Visa,Master,Debet,Dana",yes,no,yes,yes,no,no,yes,yes,yes,yes,no
7,1625109940096916,House Of Yuen - Fairmont Jakarta,[ China ],False,-6.221991,106.799032," Fairmont Jakarta, Lantai 3 Jl. Asia Afrika No. 8, Senayan, Jakarta Selatan ", Di atas Rp. 200.000 /orang ,4.52,4.5,4.8,3.9,4.6,4.8,"Senin - Jumat (11:00 - 15:00, 17:30 - 20:30), Sabtu (10:30 - 15:00, 17:30 - 20:30), Minggu (10:00 - 15:00, 17:30 - 20:30)","Tunai,Visa,Master,Debet",yes,no,no,no,no,no,yes,yes,yes,yes,no
8,1625109949098366,Social Garden,"[ Barat, Indonesia ]",False,-6.227391,106.79738," Senayan City, Lantai Ground Jl. Asia Afrika, Senayan, Jakarta Selatan ", Rp. 100.000 - Rp. 200.000 /orang ,4.29,4.3,4.7,3.7,4.4,4.3,"Senin - Kamis (11:00 - 20:00), Jumat - Sabtu (11:00 - 21:00), Minggu (11:00 - 20:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,no,no,yes,yes,yes,no
9,1625109969283587,Toodz House,[ Kafe ],False,-6.277932,106.801802," Jl. Cipete Raya No. 79, Fatmawati, Jakarta Selatan ", Rp. 50.000 - Rp. 100.000 /orang ,4.2,4.4,4.3,4.3,4.1,4.0,"Senin - Kamis (08:00 - 23:00), Jumat (13:00 - 23:00), Sabtu - Minggu (08:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
