,user_id,resto_id,review_title,overall_rating,review_date,review_helpful_count,review_text
0,drkuliner,1625098945.457403,Tea turki,4.6,2021-01-04,2,"Udah lama banget penasaran banget sama mardin baklava. Akhirnya kesampean jugaaa..First impression yg aku suka adalah pelayan nya ramah banget banget banget..Sebelum pesen, kita dikasih tester baklava nya.Ini cocok banget utk pecinta manis.Pertama kali coba Cheese kunafe nya agak aneh perpaduan manis diatasnya dan asin dr keju didlm nya. Tapi lama2 enak juga hehe."
1,Nandaferlisa,1625098945.457403,Ngopi cantik ala Turki,4.2,2021-01-03,1,"Akhirnya kesampean ke ke Mardin yang jaraknya lumayan jauh ini wkwk kesini penasaran sama rada baklava, kunafe dan kopinya. Tempatnya tergolong kecil semacam toko kue sama beberapa seating aja tp nyaman hehe di sini, baklavanya di hitung per gramnya akhirnya coba dikit-dikit dulu dan benar sajaaaaa rasanya manis banget hehe mungkin buat yang suka manis akan suka sama ini. Terus coba kunafenya, ini enak! Lalu ada Ottoman coffeenya yang pas dateng berasa ngopi cantik karena gelasnya cantik bgt! Rasanya? Enak! Netralin rasa manis si baklavanya. Worth it!"
2,Alen,1625098945.457403,Kreasi Termanis Baklava Meski Agak Mahal,3.6,2020-06-11,1,"Akhirnya pesan untuk didelivery, kesan pertama packagingnya mewah banget, bagud kotaknya jadi terkesan elegan klasik gitu.Pesan yang mix jadi yah campur2 varian baklavanya. Cobain Chocolate & Coconut  Baklava, Classic Pistachio Baklava, Walnut Classic Baklava, Asiyan Walnut Baklava, dan Cashew Nut Saray Roll Baklava. Masing2 menawarkan sensasi baklava yang manis dengan kombinasi yang menarik. Intinya sih as expected namanya baklava yah manis jadi yang ga suka dengan rasa manis yang manis banget sebaiknya dihindarin daripada komplain ga enak kemanisan. Overall oke banget sih rasanya, masing2 varian menawarkan citarasa sendiri, tekstur, lapisan per lapisannya, creamy, karamel, beda2. Yah meski agak mahal sih harganya."
3,yudistira,1625098945.457403,enak tapi mahal...,3.6,2020-02-11,3,"Setelah menanti panjang, akhirnya nyobain juga Mardin Baklava. Kenapa sampe menanti begitu lama? Soalnya si Mardin ini berada di kawasan yang hampir engga pernah dengan sengaja saya datengin buat berwisata kuliner yaitu Cipinang. Gerainya sendiri terdiri dari seating area yang menjorok ke halaman parkir dengan dilapisi dinding kaca. Mural bergambar penari khas Turki menjadi inti ornamen disini. Baru ruangan sebelahnya terdapat lemari display baklava merangkap kasir.Kali ini saya nyicipin baklava dengan tiga varian rasa yaitu Cream & Pistachio, Chocolate & Coconut dan Chocolate & Walnut. Meski belum pernah ke Turki dan nyobain baklava original dari sana, tapi menurut review foodies lain yang pernah ke Turki sih katanya rasa baklava di Mardin sangat otentik dan mirip dengan yang ada di Turki. Kalau dari penyelidikan rasa berdasarkan hasil icip saya sore ini, ketiga baklava disini manisnya sangat kuat sampe menimbulkan sensasi lengket. Tapi meski manis, engga bikin enek. Pistachio, kelapa, cokelat maupun walnut nya, menjadi penyeimbang rasa yang pas dilidah.Selain baklava tadi, saya pun mencoba Ottoman Coffee, yaitu minuman kopi yang diberi tambahan rempah khas Timur Tengah, sahlab, dan krimer. Kalau dicium dari harumnya sih sangat unik, kalau saya bilang mirip aroma air ledeng. Tapi kalau mau diresapi lebih jauh, Ottoman Coffee ini menyuguhkan sensasi kacang-kacangan. Porsinya tuh kecil banget mirip macchiatto tapi engga sekentel itu. Sentuhan kopinya tercampur bersama kandungan krim, jadi meskipun tidak menambahkan gula, saya bisa menemukan rasa manis sekaligus milky didalamnya. Jenis minuman kopi yang baru kali ini menyapa lidah saya dengan rasa serta aromanya yang unik, tapi bukan jenis kopi kesukaan saya..."
4,HungryCouplee,1625098945.457403,Enaaakk paraah,5.0,2019-12-24,1,"Ini enak bangettt dong, awalnya penasaran, karena di bilang keju, kita langsung pesen! Wah beneran dong, keju mozarella super tebel, yang bikin tekstur kue nya ada, terus atasnya kayak gulali versi kering gt. Enak bangett! Tp makannya bs ber 3-4 org ya ini biar bs abis..#hungrycouplee"
5,rifky_syam_bayo_angin,1625098945.457403,Sweet!,3.8,2019-12-21,1,"Akhirnya kesampaian juga cobain ini Baklava terkenal, jadi ada temen datang ke rumah bawain ini Baklava. Rasa yang saya coba itu klo ga salah ya Pistachio, dan dalam 1 box klo ga salah isinya ada sekitar 7-8 pieces gtu. Rasanya manis, dan sangat maniss namun ada gurih2 dikit dan dengan texture mirip2 croissant. cocok banget makan ini dengan minuman pahit seperti hot dark chocolate or americano"
6,UrsAndNic,1625098945.457403,Baklava enak,4.0,2019-12-12,1,"Dessert khas Turki seperti Baklava tidak banyak didapati di Jakarta. Saya pernah mencoba di beberapa tempat lain yang enak dan di sana pilihan baklavanya tidak sebanyak di Mardin Baklava. Outlet ini tidak terlalu besar, ada seating area yang cukup nyaman. Saya beli : Baklava Mix 245gr (127.4k) dapat 8pcs. Saya pilih Special Full Pistachio, chocolate coconut baklava, cream & pistachio Baklava, classic walnut baklava dan yang lainnya saya lupa namanya. Pokoknya all about pistachio & walnut deh. Semuanya enak2 deh lapisan pastrynya renyah, dan rasa pistachionya sangat mewah. Dan yang paling saya suka di sini Baklavanya tidak terlalu manis, benar2 terasa tastenya sudah disesuaikan dengan lidah Indonesia. Waktu jalan2 ke Turki saya mencoba baklava di beberapa kota besar di sana dan teksturnya mirip2lah dengan Baklava di Mardin yang renyah, flaky tapi di Turki itu baklavanya menurut saya rasanya super manis. Gulanya terbuat dari gula beet yang lebih sehat, tapi after tastenya kurang begitu ok di lidah saya, jadi saya jauh lebih suka Baklava di Mardin ini. Untuk minuman saya pesan : Muska (24k) - Turkish tea dan Ottoman Coffee (40k) – penyajiannya cantik di gelas teh dan gelas kopi khas Turki. Rasanya sangat autentik, mirip dengan yang pernah saya coba di Turki. Tehnya dan kopinya terasa strong. Lain saya mau cobain apple tea khas Turki dan Cheese Kunafe. Penasaran karena waktu ulang tahun di Turki saya dikasih birthday cake cheese Kunafe dengan loyang yang besar dan rasanya enak banget. Untuk para pencinta Baklava wajib banget deh cobain Baklava di Mardin. Recommended."
7,placetogoandeat,1625098945.457403,Turkish dessert,3.8,2019-09-11,0,"Mardin Baklava ini adalah turkish dessert, yang buat juga masih orang turki asli loh. Tempatnya tidak terlalu besar, ada seating areanya juga tapi tidak terlalu banyak. Display patisserie dan seating areanya terpisah oleh pintu kaca jadi seating areanya di ruangan terpisah.Pilihan dessertnya cukup banyak, semuanya didisplay berjejer di meja, sangat menarik sekali dan enaknya disini boleh tester dulu sebelum beli. Aku coba beberapa slice yaitu yang chocolate pistachio, cream and cheese, chocolate, lalu coba juga cheese kunafe dan turkish tea. Untuk dessertnya disini itungannya per gram gitu, kecuali yang kunafe dia porsian. Enak-enak banget ini dessertnya, manisnya pas, tidak terlalu manis banget. Cheese kunafenya juga enak, di dalamnya ada melted cheese jadi ketika ditarik kejunya bisa panjang gitu. Teh khas turkish, tehnya pekat, rasanya seperti black tea, pahit dan ada hint rasa rempah-rempah. Penyajiannya cantik banget di gelas kecil berbentuk seperti tulip. Biasanya teh ini sebagai pendamping baklava, oleh sebab itu rasa tehnya pahit untuk menetralisir rasa manis dari baklava. Overall, suka deh sama dessert disini, next time pasti balik lagi"
8,astri_arf,1625098945.457403,Nice Turkish dessert,5.0,2019-08-30,2,"The place is quite small but clean, cozy and has good air conditioner. The decoration was simple but has strong Turkish ambience. I love the glass etalase.The staff were very friendly, they gave me a tester of baklava before I order.I ordered 1/4 kg of mixed baklava. I've read some reviews that complaining about thw sweetnes.. Of course they are sweet because they're baklava.. 😁 A coffee or tea would be a perfect companion.And the cheese kunafe.. My favourite!! Sweet, crunchy string pastry combined with cheese to balance the sweetness. Must try!!Also order the chocolate pudding, delicious with generous portion.The price might be on the higher side, but worth the quality of the pastries.Recommended!"
9,annisa_sabran,1625098945.457403,BEST BAKLAVA,4.8,2019-05-26,1,"Biteorbye? Bite.Why you will love it ❤Super rich in taste. Every bite is like you died a bit and went to heaven. Must. Try. The. Pistachio. One. To those who are not familiar with the taste of baklava, it might be a little too sweet and in your face. That's why you should opt for the pistachio one. The savoury taste of the pistachio cuts the overly sweet treat and gives a more balanced flavour. Still dominantly sweet, but with just a slight hint of saltiness that creates an explosion of flavour in your mouth. I'll try the cheese kunafa when I visit there! What could be improved 🙏1. Personally, I do not like the chocolate one because the original taste is eclipsed by the taste of chocolate. The walnut also somehow does not highlight the taste of baklava which is a shame, it's like you have the voice of Shawn Mendes but decide to stay silent. 2. This baklava is on the pricey range and you buy it per gram as opposed to per pieces, however, every Rupiah you spend is worth it. Place: Mardin Baklava, JatinegaraMenu: Assorted Baklava, go for the pistachio one!"
