,user_id,resto_id,review_title,overall_rating,review_date,review_helpful_count,review_text
0,rohmando,1642426479.052719,I Prefer Their Previous Location.,3.6,2021-03-02,1," Kafe yang dulunya berlokasi di dekat Junction 8 Sukajadi ini sekarang pindah ke BTC lantai dasar. Posisinya berada di area belakang di dekat akses parkiran. Untuk saya yang tidak begitu familiar dengan BTC sebenarnya dibutuhkan  untuk menemukan store-nya. Sejujurnya, saya lebih suka store-nya di lokasi yang lama, yang konsepnya lebih ke semi-coworking space. Untungnya walaupun berada di pusat perbelanjaan, tempatnya tidak terlalu terasa hustle and bustle-nya. Ambiece restorannya lumayan cocok untuk sekadar makan siang atau malam, atau untuk buka laptop sambil kerja ringan Tempatnya cukup nyaman, namun sayangnya kafe ini tidak memiliki dedicated toilet. Sekalinya harus ke toilet saya pribadi selalu think twice untuk meniggalkan barang-barang mengingat tempatnya yang sedikit terbuka.Food and Beverage:- Beef Rice Bowl (40K)Rice bowl-nya sepertinya lebih berkiblat ke Japanese style, dimana daging sapinya di-grill dengan bumbu minimalis yang menghasilkan daging sapi dengan citarasa manis-gurih alami. Daging yang digunakan adalah bagian berlemak yang dipotong tipis-tipis, porsinya cukup generous. Daging cukup empuk dan masih cukup juicy. Daging sapinya disajikan bersama salad yang dipotong tipis-tipis dengan seasoning mayonaise. - Ice Lemon Tea (20K)Sebenarnya es teh lemon pada umumnya, namun dalam versi yang sedikit lebih asam. Tapi masih sangat cocok sebagai pendamping rice bowl-nya. "
1,auliatiara560,1642426479.052719,Lumayan,3.2,2021-03-02,1,"Kemarin order mozafries dan friesnya menurutku lumayan enak. Bukan tipe fries yang murahan, lembut dan juga crispy di luarnya. Disediakan sama 4 saos; honey mustard, ketcup, saos sambel dan mayonnaise. Mozanya ga begitu banyak ya tapi porsi kentangnya lumayan banyak hihi. Pesan juga minumnya iced chocolate dan enak ga begitu manis. Tempatnya nyempil di BTC dan agak sulit nyarinya, kalau sulit bisa tanya aja ke satpamnya hihi."
2,aprilprabowo,1642426479.052719,dipojok banget,4.0,2021-03-02,0,Lagi main ke Bandung sekalian berburu kopi disini ternyata tempatnya dipojokan banget... tapi lumayan pw dan gak ramai buat laptopan. Disini aku order Yamin Ayam Bakso dan Sweet Lico. Harga makanannya affordable dan rasanya lumayan enak Sweet Liconya beli yang 1 pitcher gede banget bisa buat ber 5 hahaha
3,ayu_oktariana,1642426479.052719,kafe di pusat perbelanjaan,4.0,2020-03-13,3,"dari dulu pengen nyoba ke monsoon ini biasanya lewat kalo mau ke pvj tapi dari akhir tahun lalu pindah ke btc. Aku jarang banget main ke btc padahal lumayan deket dari rumah, jadi tadi agak bingung juga nyari lokasi si monsoon ini akhirnya aku tanya satpamnya dan ketemu deh. Lokasinya agak mojok tapi ambiencenya enak dan hening ga kayak pusat perbelanjaan yang biasanya berisik ga jelas, soalnya lokasinya juga nyempil kan ya.Aku tuh bingung gitu awalnya memilih menu untuk dipesan soalnya semuanya kedengeran menarik dan akhirnya aku tanya masnya terus katanya salah satu yang favorit itu mozzarice jadi aku pesan yang spicy chicken tapi minta ga pedes jadi ya chicken mozzarice gitu haha.Rasa nasinya sih kayak nasi goreng tanpa kecap gitu dan rasanya enak gurih terus mozzarellanya banyak tapi ga bikin enek gitu dan mozzanya di torch gitu aku kira bakal di bake tapi ya mungkin jadinya kalo di bake namanya baked rice  Ayamnya juga banyak dan merata.Buat minumannya aku pesan yang non-coffee karena aku tidak mau lagi mengorbankan lambungku sudah cukup sabtu 2 minggu lalu jadi akhir kisah ngopiku. Aku tertarik sama choco wafer dan unik sih dia minuman coklat gitu terus atasnya ada potongan wafer banyakk. Tapi agak kemanisan buatku dan cokelatnya kurang lekoh mungkin karena dia dingin dan esnya keburu meleleh.Pelayanannya di sini oke banget sih semuanya ramah dan sangat membantu sekali.Tapi sayang di area kafenya ga ada wastafel apalagi toilet, jadi kalo mau cuci tangan harus ke toilet umum mallnya."
4,sanniera,1642426479.052719,Creamy Rice 💯,4.4,2020-03-13,3,"Baru pertama kali kesini, ternyata di antara toko toko baju ada cafe lucu juga. Tempatnya enak dan cocok juga buat ngerjain tugas (buat foto jg bagus )Chicken katsu creamy rice-nya enak!!!! Sangat recommended, apalagi kalau suka makanan semacam carbonara. Nasinya ada rasanya jg kaya nasi goreng, ada potongan nanas jg tapi tidak mengganggu sih masih enak. Ayamnya juga pas gak terlalu keras. Yg paling enak sih cream-nya ini. Katanya sih cream jamur gitu, tp ga berasa jamur, bener bener kaya carbonara rasanya tapi tidak eneg 👌🏼Cafe au Lait rasanya mirip cafe latte tapi agak asam (setelah dicampur semua). Tapi bisa disesuaikan jg rasanya karena gula dan susunya dipisah. (P.s. penyajiannya lucu ). Tapi kalau aku sih lebih milih cafe latte biasa aja atau yg non-coffee karena kayanya memang base coffee-nya yg asam.Karena menu pertama creamy rice benar benar berhasil, jadi ingin balik lagi kesini untuk coba menu lain 👌🏼"
5,hendy_christianto_chandra,1642426479.052719,Sweet and comfy,4.4,2019-05-18,3,"Kalau ditanya tempat ngopi dan nongkrong favorit di utara Bandung, saya pasti sebut tempat ini sih bahkan sejak 3 tahun lalu saat kedai kopi belum semenjamur sekarang saya sudah jatuh cinta dengan tempat ini. Hanya saja memang saya jarang datangi karena cukup jauh bisa 1 jam buat kesini, dan harganya juga tinggi cuy. Tempatnya sangat nyaman, banyak spot/area yang bisa menyesuaikan kebutuhan kita mulai dari sofa untuk chit chat, working table untuk mengerjakan tugas, meja makan standar, smoking area, sampai semacam meja menghadap jalan raya pun ada. Minuman favorit saya sweet licco: olahan kopi yang tidak terlalu kopi tapi ini kopi. Ah susah jelasinnya langsung dicoba aja. Dijamin ketagihan degh."
6,nyayu_ista,1642426479.052719,Menu yg selalu dipesen kalo kesini:),4.6,2019-03-08,0,"Salah satu coffee shop yg paling sering aku datengin karena deket rumah dan kopinya enak! Selalu pesen menu yg sama, beef brisket bagel (63k) enak bgt bgt pokoknya, bagelnya pake yang multigrain, beef brisketnya juicy dan mustardnya ituloh❤️Minumnya selalu beli caramel macchiato, agak terlalu manis sih tp gatau selalu suka aja:)"
7,ExpelliarFood,1642426479.052719,Nge teh,4.4,2018-07-21,0," Halow!
Udh makan pengen ngafe dongg, mumpung sekalian lewat jadi kesini dulu hehe
Mesen lymonachee ice tea, jadi ini tuh lemon & lychee tea disatuin, kebayang dong asemnya kaya gimana?😂
Asem & fresh banget ini parsss
"
8,ana_farkhana,1642426479.052719,Cafe kecil tapi nyaman,4.0,2018-04-15,2," Udah lama pengen ke sini, tapi baru kesampaian skrg. Aku ke sini sepulang offroad. Hahah biasanya org pulang offroad mana sempet nongkrong di cafe. Dengan muka yg udh kelelahan dan mulut kehausan, aku memutuskan untuk pesen sweet licco. Sebab aku pada awalnya tertarik dengan botol penyajiannya yg mirip dgn botol whisky. Da aku emg tertarik dgn sesuatu hal yg unik. Jadi sweet licco ini termasuk light coffee, cold brew. Rasanya manis. Berhubung aku kehausan parah dan penyajiannya menggunakan es, aku minum kopi seperti minum air mineral. Habis dalam waktu g ada 5 menit. Untuk tempatnya sendiri bnr2 nyaman dgn konsep coworking. Kemudian temen aku iced green tea latte. Aku sempat icip dan rasanya kurang manis dikit.  
"
9,all_me_yeah,1642426479.052719,Kopi Tenang,3.8,2018-02-21,1,"   Ya, aku diajakin ke sini oleh temanku karena selain kafe ini berlokasi di dekat rumahnya, rasa dan suasana kafe ini pun (katanya) enak... Baiklah, mari kita coba :)    Kafe ini kecil.. Aku tidak menyangka kafe ini kecil karena terlihat dari luar lumayan besar. Namun interior kafe ini sederhana mamun menawan, serta membawa ketenangan. Rasa kopinya, menurutku sih biasa saja... Tapi bukan berarti tidak enak :)    Overall, kafe ini memang tempat yang cocok untuk menenangkan diri dan mengerjakan sesuatu. Jangan berisik di kafe ini, ia tidak di desain untuk itu.. Selamat mencoba! :)"
10,nadia_indo,1642426479.052719,sweet licco,4.2,2017-12-30,1," tempat yang nyaman ditambah wifi nya kenceng jd mager.. kbetulan lg pgn kopi jd nuobain sweet licco rasanya unik kopi tp ga terlalu kuat krena warnanya bening dan ky bkan kopi tp aroma kopinya kuat bgt yu coba unik loklh
"
11,rohmando,1642426479.052719,Work Station OK!,3.8,2017-12-04,1," Kalau sudah bulan Desember berarti mulai masuk mingu-minggu UAS sekaligus hectic-hectic nya tugas akademik, nyari tempat makan dalam periode ini juga harus yang bisa untuk sekalian untuk belajar which means selain makanannya enak, tempat nya harus ada colokan, wifi, bisa lama-lama, cahaya terang, dan cukup tenang. Tempat ini cukup memenuhi kriteria yang saya butuhkan. Minusnya sih cuma satu, bukanya cuma sampai pukul 22.00 doang, which is masih pagi banget buat saya yang kalong banget. 
 - Tuna Chunk Monsoon Bagel (48K)
Menu ini berupa burger yang isi nya tuna. Burger nya lumayan well-presented. Burger nya disajikan dengan salad dan juga french fries, ukuran burger nya lumayan besar, cocok banget dijadikan menu brunch. Daging tuna juga lumayan banyak dan tebal, hanya saja tuna nya agak overcook. French fries nya gurih dan salad-nya fresh 
 - Cappucino (25K)
Saya mendapat impresi awal yang sangat bagus ketika barista menyajikan kopi bersama sepotong kertas kecil  yang berisikan informasi tentang bean kopi yang digunakan, menurut saya informasi tersebut cukup penting sih untuk diketahui. Cappucino yang saya pesan rasanya lumayan ok, ngak terlalu manis dan terlalu creamy juga. Citarasa original kopinya juga lumayan masih kuat, cendrung pahit dan tidak terlalu sour. 
"
12,nathanael_bramwell,1642426479.052719,The best place to get a cup of coffee,4.8,2017-11-30,1,"Kenapa saya bilang tempat ini (bagi saya) the best place to get a cup of coffee? Karna emang judulnya juga cafe, mereka fokus untuk nyediain kopi terbaik untuk kita, dari biji kopi spesial dari kebun kopi mereka sendiri, so, cuma biji kopi pilihan terbaik dari kebun sendiri aja yang mereka pake. Barista dan cooknya super ramah, makanannya enak banget (only can find these kind of food di hotel bintang 4) tapi dgn reasonable price, wifinya kenceng banget, tempatnya cozy banget. That's why I said this is the best place to get a cup of coffee. Lu bisa ngopi, makan (kalo pas kebetulan lapar atau lagi kerja lalu malas keluar dari kafe lagi), kerja (gue biasa suka kerja dr jam 8-6 atau 7 malam di sini, enjoy banget). The music, toilet, semuanya mendukung lu utk berlama-lama di sini, entah untuk kerja, nongkrong, internetan, or just killing time sambil baca buku, nunggu film yg bakal lu tonton di pvj."
13,suci_sinta_sartika_selviana,1642426479.052719,Piccolo nya hmmm enak,4.2,2016-08-19,0," Pertama kali datang kesini suasanya nyaman, enak buat ngobrol santai .
Saya pesan piccolo latte walaupun kecil tapi hmmm enyaaak. Cukup buat cuaca dingin gini .
Makan aku pesennya bagel .ada beef brisket .
Tampilannya yaa burger aja haha .tapi beneran enak beefnya . 
"
