,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1642399871632668,Jenderal Kopi Nusantara Buwas,[ Kafe ],True,-6.9142821,107.6296586," Jl. LLRE Martadinata No. 219, Riau, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.39,4.2,4.6,3.9,4.6,4.6,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
1,1642399885950114,Bellamie Boulangerie,[ Kafe ],False,-6.906901,107.623809," Jl. Cihapit No. 37, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.22,4.5,4.3,4.1,4.1,4.2,Senin - Minggu (07:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay",yes,yes,yes,yes,no,yes,yes,yes,yes,no,no
2,164239989644698,Ambrogio Patisserie,[ Kafe ],True,-6.908278,107.617447," Jl. Banda No. 24, Banda, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.19,4.2,4.6,3.9,4.0,4.3,Senin - Minggu (09:00 - 21:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
3,164239991739238,Justus Steakhouse,[ Barat ],False,-6.904874,107.620508," Jl. Cimanuk No. 8, Riau, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.17,4.4,4.3,3.8,4.1,4.1,Senin - Minggu (11:00 - 20:30),"Tunai,Visa,Master,Debet,Go-pay",yes,no,yes,yes,no,yes,no,yes,yes,no,no
4,1642399925482695,Hummingbird Eatery,[ Barat ],False,-6.904903,107.618258," Jl. Progo No. 14, Progo, Riau, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.18,4.4,4.4,3.7,4.0,4.3,Senin - Minggu (07:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,yes,no
5,1642399934120998,Teapotto,[ Kafe ],True,-6.911745,107.631539," Jl. Bengawan No. 25, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,4.31,4.1,4.3,4.0,4.7,4.5,"Senin - Kamis (11:00 - 20:00), Jumat - Minggu (09:00 - 21:00) ","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
6,1642399940496135,Marugame Udon,[ Jepang ],False,-6.909936,107.625643," Jl. LLRE Martadinata No. 112, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.09,4.6,3.8,3.8,4.1,4.1,"Senin - Jumat (10:00 - 23:00), Sabtu (10:00 - 24:00), Minggu (10:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
7,1642399948506421,Pho Ngon,[ Vietnam ],False,-6.90625233399944,107.612," Riau Junction, Lantai Ground Jl. LLRE Martadinata No. 17 - 21, Riau, Bandung ( Alamat Lama: Paris Van Java, Lantai Ground (Resort Level), Jl. Sukajadi No. 137 - 139, Sukajadi, Bandung ) ", Rp. 50.000 - Rp. 100.000 /orang ,4.07,4.2,4.0,4.2,4.0,4.0,Senin - Minggu (10:00 - 20:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",yes,no,no,no,no,yes,no,yes,yes,no,no
8,1642399956521763,Akasya Teras,[ Kafe ],False,6.2087634,106.84559899999," Jl. Ciliwung No. 12, Riau, Bandung ( Alamat Lama: Jl. Resort Dago Pakar No. 18A, Dago Atas, Bandung ) ", Di bawah Rp. 50.000 /orang ,4.22,4.5,4.7,3.6,3.9,4.4,not listed,Tunai,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,not sure,no
9,1642399960750661,Bilbao Brasserie,[ Barat ],True,-6.904577,107.620487," Jl. Cimanuk No. 12, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.12,4.2,4.6,3.5,3.8,4.5,Senin - Minggu (07:30 - 22:00),"Tunai,Visa,Master,Debet,Ovo",yes,no,yes,no,no,yes,yes,yes,yes,yes,no
