,user_id,resto_id,review_title,overall_rating,review_date,review_helpful_count,review_text
0,whidiea_wede,1642422817.648878,Tempat ngopi santai,4.0,2021-10-25,1,"Tempatnya aku suka karna ada pilihan sofa dan kursi biasa. Yang perokok, ada ruangan semi outdoor di depannya. Makanannya enak2 dan minumannya pun sama. Fasilitas toilet dan musholla nya pun bersih. Cuma kalau kalian kesini, parkir mobilnya ga begitu luas. Jadi aku saranin pakai kendaraan roda dua aja biar nyaman."
1,laela_marlina,1642422817.648878,Kulineran Malam di Terai,3.8,2021-10-19,1,"Coba kulineran malam-malam ke daerah Tubagus Ismail. Ternyata ada Cafe Terai, dari luar terlihat kecil dan susah parkir mobil. Sesampainya di dalam, ternyata tempatnya lumayan cozy dan nyaman buat WFH menurutku. Karena waktu kesana pengunjung didominasi anak-anak nongkrong dan orang-orang yang fokus pada laptop. Tempatnua nyaman, rapi dan bersih. Pegawainya ramah banget sampai dijelasin detail menunya. Karena waktu ke sana beberapa menu sudah sold, jadi pesan menu-menu yang masih ada. Lae pesan white lychee, chicken cordon bleu dan chicken quesadilla. Rasa minumannya standar daaaan makanannya enak-enak 😍😍😍Waktu pesan chicken cordon bleu sebenarnya gk punya ekspetasi lebih. Tapi waktu cobain kentangnya enak banget, kering di luar dan soft di dalam. Panggang/bakarnya pas! Ukuran ayamnya tidak pelit dan isiannya juga padat bahkan ada sayurannya. Pantes aja pegawainya bilang menu ini salah satu best sellernya! Chicken qusadilla, semacam camilan ala-ala meksiko. Isiannya suwiran daging ayam dan ada paprikanya. Anak saya yang masih balita suka. Waktu dioles dengan sausnya lebih enak. Kayanya kalau nkesini lagi mau pesan ini lagi... Baru tahu cafe ini dari aplikasi Perkul dan tentu pergi ke sana karena ada voucher Perkul. Thanks yaa 😁😁😁"
2,ExpelliarFood,1642422817.648878,"Good service, good food",4.4,2021-10-03,1,"Datang dalam hari ultahnya RI-2Begitu datang, disambut oleh kang parkir yang ramah, dan saat masuk ke gedung, gedungnya pun terlihat  cukup luas karena langit-langitnya cukup tinggi, begitu memasuki ruangan say langsung disambut oleh kedua pegawainyaSaya memesan kopi susu terai, fish and chips, chicken quesadilla dan terai japanese pancake di next ordernyaMari kita review satu per satuUntuk kopi susu terai, rasa kopi susunya terasa segar, dan saya minta untuk lebih creamy jugaFish and chipsnya menurut saya cukup oke untuk ukuran cafeIkan dan tepungnya ke mix dengan baik,Nilai plus dari fish and chipsnya adalah saus tar-tarnya, karena sangat pas untuk fish and chipsnyaChicken Quesadillanya disajikan dengan cukup oke, tortillanya renyah dan isiannya menurutku cukup pasNah untuk terai japanese pancakenya saya minta request ke pegawainya untuk dikasih lilin (doang) tadinya, Tidak taunya malah dikasih lebih 😂Pancake ini diberi topping strawberry dan scoop es krim vanila, dan ku dikasih bonus ""happy bithday"" menggunakan selai coklat 😂Pancake yg disajikan cukup lembut dan porsinya pun banyak.Terimakasih terai coffee 😘"
3,henie_herliani,1642422817.648878,Terai coffe,4.0,2021-10-01,3,"  gyudonnya enak bumbunya terasa, porsinya mengenyangkan makanya jadi best seller. Burgernya lucu kaya menara, isinya juga banyak, ada daging & keju + onion ring. Fish & chips ditambah saus tar2, porsinya pas. Triple decker sandwich nya tebel banget, banyak isiannya, porsinya banyak bisa buat rame2. Smoothy strawberry nya enak seger kentalnya pas & ga terlalu manis. "
4,nyayu_ista,1642422817.648878,Scrumptious lunch in terai🖤,4.2,2021-09-30,3,"Siang ini lunch di terai coffeatery yang ada di jl tubagus ismail. Kalo kesini mending naik motor, karena parkir mobilnya cuma cukup untuk 2 mobil. Place wise ga terlalu besar, didominasi aksen kayu dan grey walls. Untuk minumannya aku coba mojito lemon (28k), ini blue soda ditambah perasan lemon dan lemon peel. Seger! Untuk makanannya ada fish and chips (30k), porsinya agak kecil, tapi dory fishnya lembut dan ga amis, tartar saucenya juga oke. Gyudon (32k), ini paling the best diantara semuanya sih, beef shortplatenya empuk dan ga alot, seasoning manis pedesnya pas. Untuk harga 32k oke sih. Triple decker (35k), ini sandwich isinya ada beef, chicken, egg, lettuce dan tomato ditambah kentang. Porsinya lumayan gede, cocok buat dishare. Untuk burgernya, pattynya sendiri bumbunya oke tapi sedikit keasinan. Onion ringsnya enak. Overall cukup memuaskan, baik makanan dan minumannya. Cocok buat lama lama juga, wifinya kenceng. Yang aku suka lagi baristanya ramah, dan toiletnya bersih."
5,ana_farkhana,1642422817.648878,Nice,4.0,2021-09-30,2," Ada tempat nongkrong di daerah Tubagus Ismail nih. Namanya Terai Coffeatery. Tempatnya ada di pinggir jalan banget. Menunya macem-macem. Dari yang minuman kopi hingga smoothie. Makanan beratnya juga ada lhoh. Menu yang dipesan ada blue sky, kopi susu terai, black sabbath matters, smoothies strawberry, white lychee, newyork burger, gyudon, fish and chips, triple decker sandwich. Yang paling the best adalah gyudon, nasinya pulen, beefnya berasa bumbunya.  But overall oke sih rasanya.   "
6,hendy_christianto_chandra,1642422817.648878,Sesekali ngebolang.,3.8,2021-09-30,1,"Udah lama sih tau ada tempat ini (berkat kupon perkul) tapi karena cukup jauh jadi mager. Nah untungnya diajakin kesini. Ternyata tempatnya cukup luas dan nyaman ya untuk ukuran coffee shop! Sayang parkirannya sempit sih. Cukup paling untuk 1-2 mobil aja itu juga makan trotoar. Nah untuk makanan dan minuman yang saya coba juga enak-enak! Baik menu asia maupun baratnya enak. Paling impres sama beef bowlnya. Terus minuman Black Sabbathnya juga enak! Seger gitu dan pas kombinasi komposisi kopi, lemon dan peachnya! Buka cabang di BanSel dong plizzzz"
7,monaham_fachrudin,1642422817.648878,Comfy...,4.4,2021-09-30,2,"Lokasi tempatnya ada di ujung jalan Tubagus Ismail, tempatnya bagus, bersih, dan nyaman. Yg bikin kaget sih tempatnya ga terlalu besar untuk ukuran kafe tapi menu makanannya komplit dan enak, harga nya juga worth, sama pelayanannya juga ramah. Cuman parkiran aja agak kecil buat mobil muat sekitar 1-2 mobil aja. Ini beberapa menu yg aku cobain :Fish & ChipsIkannya dan sausnya enak, kayaknya mungkin buat cemilan tapi ditambah ada potato wedges. Jadi lumayan ngenyangin.Gyudon Tekstur dagingnya empuk, campuran bumbunya juga pas ngga ada rasa over yg dominan.Triple Decker Sandwich4 piece potongan sandwich, ini juga enak sayurannya juga fresh trus ada kentang gorengnyaNewyork BurgerIni yg paling eyecatching, burgernya tinggi banget karena ada tumpukan onion ring yg disusun ditengahnya. Enak jugaKopi Susu Terai BotolKopi susu botolan, dikasih gelas sama es juga jadi minumnya dituangin ke gelas, ga langsung dari botol. Rasanya creamy, cocok buat yg pengen ngopi dan ga begitu suka yg pekatOverall worth dari harga dan rasa makanan, suasana juga nyaman, wifi nya juga kenceng"
8,DiantyDwi,1642422817.648878,Everything nice,4.4,2021-09-25,2,"Di terai, biasa lah tempat makan dan nongki. Disini minumannya lumayan beragam, menu makanan juga macemnya oke punya. Nah untuk tempat secara keseluruhan sih inimah enakeun, dan lega tempatnya serta adem anyem. Disini aku makan siang nyoba 3 menu:- Boston Burger (45k):  burger seporsi sudah termasuk kentang goreng. Untuk burgernya isinya beef patty, pake smoked beef dan sayuran. Sausnya pakai mustard dan saus tomat. - Chicken Cordon Bleu (35k) : fillet ayam yang diisi dengan sayuran, keju dan smoked beef. Pakai sausnya, include potato wedges dan salad. Aku sih suka sama sausnya, chicken cordon bleu nya juga ga overwhelming dan gak kurang, saladnya yang aku suka banget sih karena dressing nya seger enyaaak. Potato wedgesnya empuk.- Black Sabbath Matters (35k) : campuran espresso, peach dan lemon. Oh ini enak sih! Rada sulit ya nemuin minuman fusion kopi dengan lemon yang enak begini. Inituh rasa kopi, lemon dan peachnya menyatu dengan baik. Really good!Overall semuanya oke punya, rekomen kesini. Cuma dari segi tempat parkir aja sih kalo kesini rada sulit kalo pake mobil pribadi krn paling cuma muat 2 mobil. "
9,Novita,1642422817.648878,Ngadem !,4.4,2021-09-18,0,"Kali ini nyoba Aglio Olio, spaghetti dengan crushed garlic, olive, basil & dory, lebih ke chewy texture jadi g begitu creamy, tapi rasa salty2 & rempahnya kerasa. Kalo Nachos-nya sendiri pangsit biasa yang disajiin sama white sauce & sambal cabe terpisah, crunchy2 banget tapi jujur agak ngagokin si.Jujur yang Churros paling juara disini, ukurannya gede2, crunchy & empuknya juga dapet banget dengan adonan yang g plain jadi berasa manisnya, taburan gula & chocolate sauce-nya juga maknyus banget.Minumnya nyoba siganture baru mereka yang Ultramarine, mocktail gitu jadi asem2 segernya kerasa banget, ada hint rasa2 markisa juga, asli seger!"
