,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1625013387330193,Furusato Izakaya,[ Jepang ],False,-6.215942,106.8163," Sudirman Suites Apartment Jakarta, Lantai Ground Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat ", Di atas Rp. 200.000 /orang ,4.46,4.5,4.8,4.0,4.7,4.5,"Senin - Sabtu (11:30 - 14:30, 18:00 - 23:00), Minggu (18:00 - 21:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,no,yes,yes,yes,yes,no
1,1625013398365917,Caspar,[ Spanyol ],False,-6.215823066781057,106.81," Sudirman Suites Apartment Jakarta, Lantai Ground Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat ", Di atas Rp. 200.000 /orang ,4.54,4.6,4.8,3.8,4.7,4.7,"Senin - Kamis (11:00 - 24:00), Jumat - Sabtu (11:00 - 02:00), Minggu (11:00 - 24:00)","Tunai,Debet",yes,no,yes,yes,no,yes,no,yes,yes,yes,no
2,1625013406941654,WAKI Japanese BBQ Dining,[ Jepang ],False,-6.20114,106.82228," Jl. Tanjung Karang No. 5 (Lantai 1), Thamrin, Jakarta Pusat ", Rp. 100.000 - Rp. 200.000 /orang ,4.34,4.7,4.3,4.2,4.2,4.3,Senin - Minggu (11:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,yes,yes,yes,yes,no
3,1625013430686493,Momo Paradise,[ Jepang ],False,-6.193322,106.821959," Plaza Indonesia, Lantai 5 Jl. MH Thamrin, Thamrin, Jakarta Pusat ", Di atas Rp. 200.000 /orang ,4.53,4.7,4.4,4.3,4.7,4.5,Senin - Minggu (11:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,yes,yes,yes,yes,no
4,1625013439310524,Altitude Grill,[ Barat ],False,-6.192515,106.822433," Altitude The Plaza, Lantai 46 Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat ", Di atas Rp. 200.000 /orang ,4.62,4.6,5.0,4.3,4.5,4.7,Senin - Minggu (11:00 - 21:00),"Tunai,Visa,Master,Debet",yes,no,yes,no,no,no,no,yes,yes,yes,no
5,162501344465647,House of Crepes,[ Dessert ],True,-6.193373,106.822109," Plaza Indonesia, Lantai 5 Jl. MH Thamrin, Thamrin, Jakarta Pusat ", Rp. 50.000 - Rp. 100.000 /orang ,4.38,4.6,3.8,4.2,4.6,4.7,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",no,no,no,no,no,yes,no,no,yes,no,no
6,1625013458666629,Tucano's Churrascaria Brasileira,[ Brasil ],True,-6.207741,106.817755," Apartemen Pavilion Sudirman, Lantai Ground Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat ", Di atas Rp. 200.000 /orang ,4.31,4.6,4.3,4.0,4.4,4.3,Senin - Minggu (11:00 - 21:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,yes,yes,yes,yes,no
7,1625013475563789,Fish & Chips ThreeHouse,"[ Barat,Indonesia ]",True,-6.2131323,106.809245," Apartemen Park Royale, Tower Lobby 1 Jl. Gatot Subroto, Gatot Subroto, Jakarta Pusat ", Rp. 50.000 - Rp. 100.000 /orang ,4.34,4.5,4.4,4.1,4.4,4.3,"Senin - Sabtu (10:00 - 20:30), Minggu Tutup","Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,no,yes,yes,no,no
8,1625013485361232,Sushi Hiro,[ Jepang ],False,-6.193384,106.822109," Plaza Indonesia, Lantai 2 Jl. MH Thamrin, Thamrin, Jakarta Pusat ", Rp. 100.000 - Rp. 200.000 /orang ,4.45,4.6,4.9,4.1,4.3,4.5,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,no,no,no,no,yes,no,yes,yes,no
9,1625013490379759,Lee Palace,[ China ],False,-6.164242,106.820816," Harmoni Exchange Center, Lantai 3 Jl. Hayam Wuruk No. 6, Hayam Wuruk, Jakarta Pusat ", Rp. 100.000 - Rp. 200.000 /orang ,4.26,4.3,4.5,4.0,4.1,4.4,"Selasa - Jumat (10:30 - 15:00, 17:00 - 21:00), Sabtu (10:30 - 21:00), Minggu (08:00 - 21:00), Senin Tutup","Tunai,Visa,Master,Debet",yes,no,no,no,no,no,yes,yes,yes,yes,no
