,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1625098945457403,Mardin Baklava Patisserie,[ Kafe ],False,-6.220212,106.88641," Jl. Cipinang Jaya No. 74, Jatinegara, Jakarta Timur ", Rp. 50.000 - Rp. 100.000 /orang ,4.33,4.7,4.1,4.1,4.4,4.4,Senin - Minggu (14:00 - 24:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,no,yes,yes,no,no
1,1625098952455616,Hakuna Matata,[ Kafe ],False,-6.318406,106.858447," Jl. Pertengahan No. 5 (Depan MTSN 33), Cijantung, Jakarta Timur ", Di bawah Rp. 50.000 /orang ,4.2,4.2,4.5,4.3,3.8,4.3,"Senin - Kamis (11:00 - 22:00), Jumat - Minggu (11:00 - 23:30)","Tunai,Debet",yes,no,yes,yes,no,yes,no,yes,no,no,no
2,1625098957731304,Sukiya,[ Jepang ],False,-6.172893,106.952862," AEON Mall Jakarta Garden City, Lantai 1 Jl. Jakarta Garden City, Cakung, Jakarta Timur ", Rp. 50.000 - Rp. 100.000 /orang ,4.3,4.6,4.0,4.5,4.4,4.0,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,no,yes,no,yes,no,yes,yes,no,no
3,1625098961398396,Starbucks Coffee,[ Kafe ],False,-6.245025,106.875407," Tamansari Hive Jl. D. I. Panjaitan Kav 3 - 4, Jatinegara, Jakarta Timur ", Rp. 50.000 - Rp. 100.000 /orang ,4.52,4.6,4.6,4.4,4.6,4.4,"Senin - Jumat (07:00 - 22:00), Sabtu - Minggu (09:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,no,yes,no,no
4,1625098963394131,This is Hud,[ Kafe ],False,-6.251859,106.90937," Jl. Jatiwaringin Raya No. 13, Makasar, Jakarta Timur ", Di bawah Rp. 50.000 /orang ,4.15,4.0,4.6,4.1,4.1,3.9,Senin - Minggu (08:00 - 23:00),Tunai,yes,no,yes,yes,no,yes,no,yes,yes,no,no
5,1625098969300148,Wingstop,[ Barat ],False,-6.172893,106.952862," AEON Mall Jakarta Garden City, Lantai 3, Gourmet Garden Jl. Jakarta Garden City, Cakung, Jakarta Timur ", Rp. 50.000 - Rp. 100.000 /orang ,4.13,4.2,3.9,4.2,4.2,4.3,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,no,yes,no,yes,no,no,yes,no,no
6,162509897442887,Tuku Kopi,[ Minuman ],False,-6.1903953056337295,106.8," Jl. Pulo Asem Timur No. 40, Pulo Gadung, Jakarta Timur ", Di bawah Rp. 50.000 /orang ,4.55,4.8,4.3,4.8,4.5,4.5,not listed,Tunai,not sure,not sure,not sure,not sure,not sure,yes,no,not sure,not sure,no,no
7,1625098977504477,Canting Restaurant - Teraskita Hotel managed by Dafam,[ Indonesia ],False,-6.245642,106.874636," Teraskita Hotel managed by Dafam, Lantai 7 Jl. MT Haryono Kav. 10A, Cawang, Jakarta Timur ", Rp. 100.000 - Rp. 200.000 /orang ,4.02,3.9,4.1,4.0,4.2,3.9,Senin - Minggu (06:00 - 23:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,yes,no
8,1625098986215775,Ajwad Restaurant,[ Arab/Timur Tengah ],False,-6.289733,106.855734," Jl. Raya Condet No. 50 (Sebelah SPBU Mega Baja), Kramat Jati, Jakarta Timur ", Rp. 50.000 - Rp. 100.000 /orang ,4.3,4.5,4.3,4.0,4.3,4.3,"Senin - Jumat (10:00 - 22:00), Sabtu - Minggu (10:00 - 21:00)",Tunai,yes,no,no,no,no,yes,yes,yes,yes,no,no
9,1625098989449462,Kyo Coffee,[ Kafe ],False,-6.255103,106.910006," Jl. Wirajasa Blok ZN No. 1, Makasar, Jakarta Timur ", Di bawah Rp. 50.000 /orang ,4.23,4.0,4.4,4.0,4.4,4.3,"Selasa - Kamis (07:00 - 18:00), Jumat (13:00 - 21:00), Sabtu (07:00 - 21:00), Minggu (07:00 - 18:00), Senin Tutup","Tunai,Visa,Master,Debet",no,no,yes,yes,no,yes,no,no,yes,no,no
