,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1625027769528579,Momo Paradise,[ Jepang ],False,-6.1567121,106.9097604," Mal Kelapa Gading 5, Lantai Ground Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara ", Di atas Rp. 200.000 /orang ,4.65,4.9,4.6,4.9,4.5,4.5,Senin - Minggu (11:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,no,no,no,yes,yes,yes,yes,yes,no
1,1625027778238453,Sushi Masa,[ Jepang ],False,-6.101257,106.800113," Grey Building, Lantai 3 Jl. Tuna Raya No. 5, Penjaringan, Jakarta Utara ", Rp. 100.000 - Rp. 200.000 /orang ,4.25,4.6,4.2,4.1,3.9,4.4,"Selasa - Jumat (11:30 - 14:00, 18:00 - 22:00), Sabtu - Minggu (11:30 - 15:00, 18:00 - 22:00), Senin Tutup","Tunai,Visa,Master,Debet",no,no,yes,no,no,yes,yes,yes,yes,yes,no
2,1625027793338381,Tata Cakery,[ Kafe ],True,-6.111691,106.74688," Ruko Exclusive, Blok G No. 25, Bukit Golf Mediterania Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara ", Rp. 50.000 - Rp. 100.000 /orang ,4.28,4.4,4.2,4.3,4.2,4.4,Senin - Minggu (08:00 - 18:00),"Tunai,Debet",yes,no,no,no,no,yes,no,no,yes,no,no
3,1625027804293817,Kinari Coffee Shop,[ Kafe ],True,-6.166385,106.902971," Jl. Kelapa Cengkir Timur Blok FH2 No. 6, Kelapa Gading, Jakarta Utara ", Rp. 100.000 - Rp. 200.000 /orang ,4.44,4.4,4.7,4.0,4.5,4.6,"Senin - Kamis (08:00 - 20:00), Jumat - Minggu (08:00 - 21:00)","Tunai,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
4,1625027809794526,Hang Tuah Kopi & Toastery,[ Kafe ],True,-6.15013,106.890775," Ruko Mall of Indonesia, Italian Walk, Blok B No. 43 (Seberang Lobby 8) Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara ", Rp. 50.000 - Rp. 100.000 /orang ,4.25,4.4,4.2,4.2,4.3,4.2,Senin - Minggu (07:00 - 23:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",yes,yes,yes,yes,no,yes,no,yes,yes,no,no
5,16250278181336,Momo Paradise,[ Jepang ],False,-6.1119747,106.7380568," Ruko Crown Golf, Blok D No. 18 - 19, Bukit Golf Mediterania Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara ", Di atas Rp. 200.000 /orang ,4.25,4.5,4.2,3.9,4.5,4.3,Senin - Minggu (10:00 - 21:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,yes,yes,yes,yes,no
6,1625027831714046,101+ Juice,[ Kafe ],False,-6.12361,106.777065," Jl. Pluit Karang Selatan No. 120 (Sebelah PAM Palyja Muara Karang), Muara Karang, Penjaringan, Jakarta Utara ", Di bawah Rp. 50.000 /orang ,4.18,4.2,4.2,4.1,4.2,4.2,"Senin - Kamis (09:00 - 22:00), Jumat - Sabtu (09:00 - 23:00), Minggu (09:00 - 22:30)","Tunai,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
7,162502784137461,Garage Cafe,[ Kafe ],True,-6.115069,106.78985," Jl. Pluit Permai I No. 46, Pluit, Penjaringan, Jakarta Utara ", Di bawah Rp. 50.000 /orang ,4.3,4.3,4.4,4.1,4.4,4.3,Senin - Minggu (09:00 - 18:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",yes,no,no,no,no,no,no,yes,yes,no,no
8,1625027850060787,Sushi Hiro,[ Jepang ],False,-6.157085,106.908516," Mal Kelapa Gading 3, Lantai Ground, Gading Walk Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara ", Rp. 100.000 - Rp. 200.000 /orang ,4.26,4.4,4.4,4.0,4.2,4.3,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,no,no,no,yes,yes,no
9,1625027856107426,Phyllo Coffee,[ Kafe ],False,-6.175987,106.895361," Kirana Park Avenue Jl. Boulevard Raya Blok No. 1, Kelapa Gading, Jakarta Utara ", Di bawah Rp. 50.000 /orang ,4.21,4.1,4.3,4.2,4.3,4.1,"Senin - Jumat (09:00 - 20:00), Sabtu - Minggu (08:00 - 21:00) ","Tunai,Ovo,Dana",yes,no,no,no,no,yes,no,yes,yes,no,no
10,1625027864891291,Becca's Bakehouse,[ Kafe ],False,-6.11722,106.77516," Jl. Pluit Karang Barat Blok G6 No. 36, Muara Karang, Penjaringan, Jakarta Utara ", Rp. 50.000 - Rp. 100.000 /orang ,4.09,4.5,3.9,4.2,3.9,4.0,Senin - Minggu (07:00 - 18:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,no,no,yes,yes,no,no
11,1625027875061083,Dandy Co Bakery & Cafe,[ Toko Roti dan Kue ],False,-6.140258,106.855526," Ruko Griya Inti Sentosa, Blok A No. 16 Jl. Griya Utama, Sunter, Jakarta Utara ", Di bawah Rp. 50.000 /orang ,4.5,4.5,4.4,4.6,4.5,4.5,Senin - Minggu (07:00 - 21:00),"Tunai,Debet",yes,no,no,no,no,no,no,no,yes,no,no
12,1625027882678739,Mala Kitchen,[ China ],True,-6.146024,106.909447," Jl. Boulevard Raya Blok QJ3 No. 11, Kelapa Gading, Jakarta Utara ", Di bawah Rp. 50.000 /orang ,4.42,4.7,4.2,4.4,4.7,4.1,Senin - Minggu (11:30 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",no,yes,yes,no,no,no,no,yes,yes,no,no
13,1625027889550168,Sushi Hiro,[ Jepang ],False,-6.121237,106.791597," Jl. Pluit Putra Raya No. 12A, Pluit, Penjaringan, Jakarta Utara ", Rp. 100.000 - Rp. 200.000 /orang ,4.24,4.5,4.5,3.8,4.0,4.4,Senin - Minggu (11:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,no,no,no,no,yes,no,yes,yes,no
14,1625027895349674,The Garden,[ Kafe ],False,-6.110376,106.737822," Ruko Garden House, Blok B No. 27 - 28, Bukit Golf Mediterania Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara ", Rp. 100.000 - Rp. 200.000 /orang ,4.07,4.1,4.6,3.4,4.0,4.2,"Senin - Kamis (11:00 - 23:00), Jumat - Sabtu (11:00 - 01:00), Minggu (11:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,no,no,no,no,yes,yes,yes,no
15,1625027905507748,Ombe Kofie,[ Kafe ],False,-6.1165632,106.7566385," Arcade Business Center Jl. Pantai Utara I No. 2, Pantai Indah Kapuk, Penjaringan, Jakarta Utara ", Rp. 100.000 - Rp. 200.000 /orang ,4.21,4.3,4.4,3.7,4.4,4.2,Senin - Minggu (08:00 - 20:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,no,no,yes,yes,yes,no
