,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1642420393694141,Gormeteria,[ Kafe ],False,-6.901621,107.597707," Jl. Pasir Kaliki No. 176, Pasir Kaliki, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.16,4.2,4.4,3.8,4.1,4.3,Senin - Minggu (08:00 - 21:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
1,1642420409224759,Genki Sushi,[ Jepang ],False,-6.915171,107.594326," 23 Paskal Shopping Center, Lantai 3 Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.07,4.4,4.2,3.4,4.2,4.2,Senin - Minggu (11:00 - 21:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",no,yes,no,no,no,no,no,no,yes,no,no
2,1642420415606657,Summerbird Cafe - Summerbird Bed and Brasserie,"[ Indonesia,Barat ]",False,-6.912119,107.596667," Summerbird Bed and Brasserie Jl. Kesatriaan No. 11, Pasir Kaliki, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.24,4.1,4.7,3.9,4.2,4.3,Senin - Minggu (10:00 - 23:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,yes,no
3,1642420418894394,Eastern Restaurant,[ China ],False,-6.905836,107.597005," Istana Plaza, Lantai Ground Jl. Pasir Kaliki No. 121 - 123, Pasir Kaliki, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.13,4.6,3.9,3.6,4.3,4.3,"Senin - Jumat (10:00 - 14:30, 18:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)","Tunai,Visa,Master,Debet",yes,no,no,no,no,yes,yes,yes,yes,no,no
4,1642420424893715,Kare Curry House,[ Jepang ],False,-6.915384,107.596825," Paskal Hypersquare, Blok A No. 29 Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.92,4.1,4.0,3.8,3.6,4.1,"Senin - Kamis (11:00 - 21:00), Jumat - Minggu (11:00 - 22:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
5,164242043130813,Picknick,[ Kafe ],False,-6.901621,107.597707," Jl. Pasir Kaliki No. 176 (Lantai 4), Pasir Kaliki, Bandung ", Di bawah Rp. 50.000 /orang ,3.97,4.0,4.5,3.4,3.9,4.1,Senin - Minggu (10:00 - 21:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,no,no,yes,no,yes,yes,yes,no
6,1642420437253981,Warung Tutug,[ Indonesia ],False,-6.909755,107.597679," Jl. Pasir Kaliki No. 67 (Depan Rijsttafel), Pasir Kaliki, Bandung ", Di bawah Rp. 50.000 /orang ,4.23,4.5,4.2,4.2,4.5,3.8,Senin - Minggu (21:00 - 02:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
7,1642420441488308,Grillnesia,"[ Indonesia,Barat ]",False,-6.915407,107.597247," Paskal Hypersquare, Blok A No. 21 Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.11,3.8,4.6,4.1,3.9,4.2,Senin - Minggu (11:00 - 21:00),"Tunai,Visa,Master,Debet,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
8,1642420447003911,Daily Breu,[ Kafe ],False,-6.902963,107.59902," Jl. Rontgen No. 9, Pasir Kaliki, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.99,4.1,4.0,3.8,4.0,4.0,Senin - Minggu (09:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
9,1642420452521275,Pizza Hut,,False,-6.905755,107.5969166," Istana Plaza, Lantai Lower Ground Jl. Pasir Kaliki No. 121 - 123, Pasir Kaliki, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.98,4.3,4.1,3.7,3.9,3.9,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",yes,yes,yes,no,no,yes,no,yes,yes,no,no
