,user_id,resto_id,review_title,overall_rating,review_date,review_helpful_count,review_text
0,dave.tan,1642420393.694141,Always have room for dessert,3.8,2021-10-17,0,Thai tea layer cake by @gormeteria Rasa nya enak dan ga begitu manis. Cuma boba nya sedikit keras dan menurut saya sedikit kurang cocok aja.  But overall it’s a good dessert.
1,cyntia_carissa,1642420393.694141,Ok ok,4.4,2021-10-11,2,Enak dessertnya debest tp buat main course nya biasa aja menurut aku ga worth it 
2,dwi_hartati_izaldi,1642420393.694141,Okelah,3.6,2021-03-07,2,"Lagi nyari tempat di Bandung untuk malem, ketemulah Gormeteria. Lokasinya strategis banget, tapi untuk parkir terbatas, bisa2 disuruh parkir pinggir jalan. Tempatnya lumayan luas dan suasananya remang gitu karena lampunya kuning dim. Gue pesen minuman dan juga Spicy Cheese Brulee Bomb. Untuk Brulee Bomb nya bentuknya segitiga gitu, cheesy banget tp ga sampe eneg, dan gak se-spicy itu juga ternyata. Untuk minuman gue, ini semacam jahe gitu dengan sereh, bawang putih, dan herbs lainnya. Hangat diminum pas ujan2."
3,nadia_indo,1642420393.694141,Gornetariaaa,4.2,2021-02-26,0,Semenjak pandemi ini AQ ga kuliner krna ya takut dan parno jg sejumlah resto di bdg sempet tutup dan byak pula batasan jg kita harus social distancing pula....Kali ini AQ ke gornetaria waiting list.. setalah nunggua fpaet jg kursi dipojokan ...AQ mesen layer cake yang kekinian bgt di sini jg cream soup chicken karage rasanya lmayan lah ...segi tempat lmyan cuco buat foto2
4,tia_nurani_darmawan,1642420393.694141,My Fav Place ,5.0,2020-12-15,4,"Pokoknya kalo kesini jgn lupa pesen milo layer nyaaa Dan disini service nya bagus Toilet nya bersih Ada mushala Cocok untuk hangout , nugas , kumpul brg keluarga Harganya sesuai dgn rasa yg di dapat Cobain wajib kesini brg pacar temen atau keluarga "
5,xufang,1642420393.694141,Mager banget sihhhh di sini.,4.0,2020-12-09,1,"Asli tiap kali ke sini betah banget, arsitekturnya keren, waiter ramah semua. Aku bahkan lihat mereka bersihin meja dan lap semua kursi serta sandaran saat tamunya udah pergi.Kalau ke Gormeteria mendingan pagi karena dapet free kopi or teh.- Pho (73k) : Suami aku pesen ini dan dia suka sih sama tekstur pho nya dan kuahnya yang gurih. Ga terlalu berminyak juga jadi berasa sehat makan pho ini.- Bistik (63k) : Kalau aku lagi pengen makan complete portion, jadi milih nasi bistik, lembut sapinya dan bisa pilih telurnya mau dibuat matang atau setengah matang.- Milo Crepe (41k) : Yang ini katanya favorit di Gormeteria, layernya tipis dan creamnya ga bikin enek, cuma aku malah jadi kurang suka sama butiran milo bubuknya. Better ga dikasih itu sih. Overall enak kok tapinya, lumayan gede slice nya."
6,awakmutukangmakan,1642420393.694141,TerDeBeessstttt,4.4,2020-08-20,1,Follow Me On InstaGram : awakdoyankuliner
7,andewantari,1642420393.694141,Kunjungan kedua,4.6,2020-07-22,1,"Sarapan disini is a good idea sih, karena ada promo breakfast get coffee or tea every meal purchased. Disamping makanannya yang enak enak, tempatnya juga super clean and cozy. Kali ini aku pesan big breakfast plater dan thai tea mile crepes. Mile crepesnya sukaa bgt krn gaterlalu manis gitu dan porsi breakfast platernya juga lumayaan. Worth it and recommended♥️♥️"
8,tinyhsw,1642420393.694141,Tempatnya PEWE banget gaess,4.0,2019-12-31,0,"Kesini pas liburan natal dan tempatnya ga gitu rame gaes padahak hitz banget kan. Aku cobain milo dino millecrepenya, salted egg choco lava dan macaroni cheese ball. Semua nya enak gaes, tapi sedikit kemanisan sih buat aku yang millecrepenya tapi masih okelah. Choco lavanya the bomb sih, kayak dia pdhl isinya salted egg tapi kok enak bisa cocok gitu, anget2 ditmbh es nya dingin, wih mantappp. Terus tempatnya mereka bagus dan bikin pewe banget gaes, memang tempat kekinian banget di bandung"
9,marianefelicia,1642420393.694141,Terbaicc ,4.2,2019-12-31,1,Crepe miles nya terbaic banget deh .. empuk lembut . Aroma kenceng dah .. manis nya juga pas neh yang Thai tea .. aduh suka banget .. tempat juga seneng karena nyaman bersih dan bagus .. ga salah ini tempat selalu rame dan waiting list donk .. 
10,hendy_christianto_chandra,1642420393.694141,Fancy for a while,3.4,2019-12-08,2,Sudah lama tak kemari! Ternyata ga begitu banyak perubahan kecuali dari segi dekoran di tangga hits yang emang diganti secara berkala setiap beberapa bulan mengikuti seasonnya. Menu yang kami pesan disini ada cheesy lava toast yang tampak heboh padahal mah gede ku roti doang dan buat saya pribadi so-so; terus ada bubble & squeak benedict juga yang terlihat kecil tapi padat; oo crab yang mirip menu big breakfast tapi bratwurst/bacon/smoked beefnya diganti soft shell crab; dan buat dessertnya kami cobain millecrepes butterscotch choco yang choconya over dominating serta kaasstengel cake yang meh banget sampe ga abis. Ini salah pilih menu apa gimana ya?
11,Denise,1642420393.694141,Selalu enak,4.2,2019-12-07,3,"Tempatnya gede dan wah banget, remang2 gt sih, kalo buat foto jadi kurang bagus, harus cari cahaya surgawi di sudut2 tertentu  tapi asik banget kok buat nongkrong sambil makan enak.Cappuccinonya free krn breakfast, enak juga, pas, nyaman di lambung dan tampilannya juga cakeps.Bubble & Saueack Benedict, ini jg enak, stgh matengnya perfect, kelihatannya kecil tapi ternyata kenyang jg.Ooo Crab!!, ini ada kepiting, toast, telur n salad, menurut aku sih yg ini biasa aja dan kepitingnya berminyak banget jd kurang suka.Cheesy Lava Toast, ini memu paling menarik dan paling enak dari semua yg dipesen hari ini  tampilannya super banget! Rotinya celup2 ke cheesenya yuuummm~ enak banget.Untuk cakenya yg dipesen kali ini biasa aja, enak2 aja sih, cuma ga wah banget, mungkin krn udah kekenyangan jg x ya.. tp dulu cobain cake2nya enak.Next time pasti berkunjung lagi sih, nyobain menu2 lainnya "
12,ayu_oktariana,1642420393.694141,enak semua,4.0,2019-12-07,3,"inget banget terakhir ke sini 2 tahun lalu dan enak semua menu yg aku dan keluargaku pesan. Kan sekarang ke sininya pas brunch jadi menunya beda khusus breakfast gitu. Aku lagi pengen yg sweet and savoury makanya pas baca deskripsi cheese lava toast aku pilih itu aja. Oiya kalo makan di sini jam breakfast dapet free drink pilihannya ada kopi dan teh, aku sendiri pesen teh terus kalo teh free refill. Balik ke cheesy lava toast isi toastnya itu saus keju tapi enak banget gurih cheesy dan ga enek loh. Terus ada ssu kesukaanku sama sisanya ada smoked beef sama jamur terus dipakein crumble kaastengel dan ada potongan almond. Pokoknya rasanya unik banget deh toastnya manis terus saus kejunya kerasa. Oiya ada hashbrown juga cuma dalemnya menurutku agak undercook.Nuansa gormeteria tuh emang mewah banget nyaman deh.Untuk dessert aku coba mille crepes karena udah pernah nyoba yg varian thai tea aku coba yg choco butterscotch. Jujur aja ini enak tapi rasa butterscotch sama choco mille crepesnya kayak ga nyampur gituloh enaknya masing masing ga saling melengkapi."
13,siennaaa19,1642420393.694141,Uenaaak polll.. always be my favorite destination,4.6,2019-11-25,1,"Tiga kali datang kesini dan gaperna mengecewakan. Mau dateng hari apapun dan jam berapapun selalu waiting list tapi masakannya bener2 enak. Pelayanannya yang sedikit kurang, mungkin karena ramai ya. Jadi minta sendok tuh bisa 3-4 kali baru dateng.Dari segi suasana sih comfy banget, mau duduk di bar, meja pendek atau meja normal yang biasa buat orang makan, semua tempat enak. dan ga terlalu berisik meskipun orangnya banyak banget. mungkin karena spacenya yang luas juga.Dari segi harga worth it sih. Beberapa bilang lumayan mahal untuk ukuran resto di bandung tapi menurutku sih oke banget karena makanannya enak semua.Untuk makanan, aku pesen beberapa yang favorit (ada beberapa yg aku lupa harganya karena ini kompilasi 2x makan disana):180gr imported tenderloin (145k) : GILAAAA ini enak pake banget. aku pake mushroom sauce dan menurutku gapake saus aja uda enak banget. Dan dagingnyg super tender and still red pinkish inside (medium). (10/10)Bubble and squeak benedict (53k): Jujur menurutku lebih enak daripada benedict lain yang terkenal di jakarta. isinya simple, smoked beef - muffins - poached egg - hashbrown - spinach and hollandaise sauce, tapi mereka bisa bikin kombinasi asin manisnya pas. Enak sih dan mayan kenyang (9/10)The road house chicken karaage (55k): yang ini adik aku yang makan, dia bilang sih enak. waktu pertama kali dateng, respon pertamaku - gila cakep banget bener2 brownish dan crunchy type of karaage gitu. aku coba dikit ya okelah chicken karaage bukan yg gimana banget. (6/10)Chicken teriyaki dinner (80k) and salmon teriyaki: simple comfort food. Ini enak banget sih dan porsinya yang chicken gangerti lagi, ayamnya dua tumpuk banyak banget. dan porsi nasinya juga jumbo abis. Teriyaki saucenya da bomb dan ga pelit samasekali. Both is good tapi prefer chicken teriyaki karena lebi affordable dan lebih menyerap juga waktu disiram saucenya. MAJOR LOVE! Chicken (10/10), salmon (7/10)Curry rice: calling for curry lovers!!! sebenernya lumayan enak tp karena yang lain lebih enak, jadi kebanting rasanya. chicken karaagenya rada antik rasanya, mungkin selera ya tp yang harus dipuji itu that super crunchy chicken! 1 poin plus buat ayamnya. (7/10)Thai tea layer cake with thai tea cream, sauce and boba (41k): my simple happiness is this one! Dari semua layer cake yang pernah aku makan, personally this one is my fav and superb memorable. Enak parah. Thai tea saucenya ga kemanisan at all + ada hint bitter nya jadi pas dituang ke layercakenya jadi kombinasi yang pas dan bobanya juga chewy. Untuk minumannya, greentea milkshake dan honey lemongrass: greentea ya b aja standard, tp honey lemongrass nya super enak. favoritku banget, 2x dateng slalu sold out. kali ini pas terakhir visit dapet. Not too sweet dan lemongrassnya berasa. loveit 10/10 for sure!"
14,UrsAndNic,1642420393.694141,Cafe favorit keluarga,4.0,2019-10-12,0,"Gormeteria adalah salah satu café favorit saya dan keluarga Selain tempatnya bagus, nyaman dan instagramable. Makanannya juga enak2. Kali ini datang untuk dessert dan pean Millo Mille crepes, Ananas Tart cake , Pisang goreng, ala carte Wedges, semuanya enak2. Mille crepesnya cukup tebal dan enak, pilihannya juga cukup banyak lo. Minuman yang di pesan Blue Delight , Milkshake mix. Ini juga enak2 deh, Display makanan dan minumannya juga bagus. Harganya juga cukup affordable. Tempat yang wajib dikunjungi kalau lagi di Bandung. Recommended."
15,andewantari,1642420393.694141,Hits Bandung,4.2,2019-09-10,2,"Salah satu tempat kece dibandung yang menyuguhkan ambiance yg cukup nyaman dan cozy. Apalagi ada spot tangga instagramable yg sgt populer itu. Datang kesini msh pagi saat jam breakfast ternyata cukup rame jugaa. Kita pesan burger (lupa yg mana, milo dino mille crepes, dan banana berry yoghurt smoothies. Rasa makanannya cukup enak dan porsinya cukup biat sharing. Milo crepes nya pas manisnya, ngga blenek yg kemanisan gituuu walau kyk banyak bgt coklatnya. Trs smoothiesnya juga seger bgttt, berasa sehatnyaa lol. Overall pengalaman breakfast disini menyenangkan, disamping tempatnya ok makanannya pun enak enak juga cukup affordable ketimbang di JKT sih lol. Will be back next time kalo lagi ke bandung!"
16,caprianist,1642420393.694141,Overrated,4.4,2019-09-06,0,"Available only on weekend, this thai bobba cake by @gormeteria is overrated for me. It’s just plain mediocre, and you only got 5 pcs of small yet too sticky bobba. The thai tea paste or whatever you called it is just fine and not too sweet, which is the only good thing that helps this cake to be enjoyable for a little while. I expect more than this!"
17,hin,1642420393.694141,Malaysian mie mamak,5.0,2019-08-03,0,Gourmetaria..Lokasi ga jauh istana plaza..tempatnya nyaman..Buat yg suka foto foto..tepat utk bersantap sambil foto disana krn banyak sudut yg bagus buat dijadiin spot fotoDan kl kita datang sebelom pk 10 pagi..ada free capucino atau teh hangat..pokonya dimanjakan banget deh
18,xufang,1642420393.694141,Vietnamese special.,3.8,2019-08-03,0,"Gormeteria ini letaknya di pusat kota, jadi gampang nemuinnya. Gedungnya gabung dengan Picknick (bagian rooftop-nya), di bagian bawah gedungnya Gormeteria.Suasananya cozy banget, berasa adem karena background-nya juga hijau pohon gitu. Pelayanannya bagus, ramah dan lumayan cepet.Yang aku coba makan hari ini :1. Banh mi (58k) : Banh mi itu sejenis roti sandwich khas Vietnam, isinya ada sayuran, daging dan dikasih saus gitu. Rasanya enak, tapi rotinya kurang lembut. 2. Pho-licious (68k) : Pho nya isi daging sapi, potongannya dagingnya generous banget. Aku bilang kuahnya sih agak hambar dan ga seenak yang pernah aku cobain di Pho Ng**.Oh iya, kalau dateng ke sini sebelum jam 10 pagi kita dapet free tea atau capucino, boleh refill untuk tea nya. "
19,eatmewhileimhot,1642420393.694141,Makan ena',4.0,2019-07-02,2,"Makan ksini lg deh..Tempatnya nyaman bgt, banyak spot foto yg instagramable jg.. yg pasti makanannya ena' ena'Kali ini kupesen nasi bistik sapi, sumpah enak banget, kl bahasa sunda nya pelem pisan,, rempah""nya berasa bgt tp engga over, pas aja. Si daging nya jg empuk dan banyak.. cm sayang sayuran nya agak over cooked..Mango smooties nya jg enak, mangga banget pas aja di lidahku.. selalu puas makan dsni.. "
20,qedasca,1642420393.694141,Matcha Mochiii💚,3.8,2019-06-13,4,"Mille crepes yang akhirnya kesampean buat cobain! Tekstur tiap lapisannya emg lembut banget yaa, super creamy! Saus matchanya pun ngga yang too sweet, ada rasa pahit matchanya jd menyeimbangkan manis di mille crepesnya. Sebagai pecinta matcha, harus coba karena kusuka sekali!"
