,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1642426479052719,Monsoon Cafe,[ Kafe ],True,-6.893479,107.584686," Bandung Trade Center, Lantai Ground Jl. Dr. Djunjunan 143 - 149, Pasteur, Bandung ( Alamat Lama: Jl. Sirnamanah No. 35, Sukajadi, Bandung ) ", Rp. 50.000 - Rp. 100.000 /orang ,4.16,4.4,4.3,3.9,4.2,4.1,Senin - Minggu (10:00 - 18:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
1,1642426486593134,Q Boat,[ Korea ],False,-6.900533,107.599279," Jl. Pasteur No. 29 (Seberang Bio Farma), Pasteur, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.13,4.2,4.0,4.3,4.2,4.0,"Senin - Jumat (11:00 - 23:00), Sabtu - Minggu (10:00 - 23:00)","Tunai,Debet,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
2,1642426489662678,Gion Japanese Grill & Chill,[ Jepang ],True,-6.890986,107.578594," WU Tower, Lantai 8 Jl. Dr. Djunjunan No. 588, Pasteur, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.47,4.3,4.7,4.3,4.3,4.7,"Senin (16:00 - 22:00), Selasa - Kamis (11:00 - 22:00), Jumat - Sabtu (11:00 - 24:00), Minggu (09:00 - 21:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,yes,yes,yes,yes,no
3,1642426491803499,Restoran Simpang Raya,[ Indonesia ],False,-6.892727,107.585381," Jl. Dr. Djunjunan No. 182, Pasteur, Bandung ", Di bawah Rp. 50.000 /orang ,4.13,4.7,3.7,4.0,4.3,4.0,Senin - Minggu (09:00 - 22:00),"Tunai,Visa,Master,Debet",yes,yes,yes,yes,no,yes,yes,yes,yes,no,no
4,164242649398648,Bakso Enggal Malang,[ Indonesia ],False,-6.897065,107.59141," Jl. Dr. Djunjunan No. 61, Pasteur, Bandung ", Di bawah Rp. 50.000 /orang ,3.75,4.4,3.3,3.8,3.6,3.8,Senin - Minggu (09:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,yes,no,no,yes,no,no,yes,no,no
5,1642426498476762,Sate Maranggi dan Sop Hj. Maya,[ Indonesia ],False,-6.894817357821503,107.58," Jl. Dr. Djunjunan No. 126 - 128, Pasteur, Bandung ", Di bawah Rp. 50.000 /orang ,3.85,4.5,3.5,3.8,3.8,3.8,Senin - Minggu (09:00 - 21:00),Tunai,no,no,yes,yes,no,yes,no,yes,yes,no,no
6,1642426501996568,Saung Kabayan,[ Indonesia ],False,-6.895913,107.589301," Jl. Dr. Djunjunan No. 107, Pasteur, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.72,4.2,3.6,3.8,3.8,3.2,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
7,16424265067182,Baso Solo Condong Raos Istigfar,[ Indonesia ],False,-6.894171,107.584453," Jl. Sukawarna No. 10 (Belakang Mall BTC), Pasteur, Bandung ", Di bawah Rp. 50.000 /orang ,4.2,4.5,4.0,4.5,4.0,4.0,Senin - Minggu (09:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
8,1642426508020732,Dapur Unik,[ Kafe ],False,-6.894802,107.587793," Jl. Dr. Djunjunan No. 121, Pasteur, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.6,3.9,3.3,3.8,3.5,3.6,Senin - Minggu (08:30 - 22:00),"Tunai,Debet,Ovo,Dana",yes,no,yes,yes,no,yes,no,yes,yes,no,no
9,1642426512660946,Mayasari Bakery,[ Toko Roti dan Kue ],False,-6.892524,107.583326," Jl. Dr. Djunjunan No. 155, Pasteur, Bandung ", Di bawah Rp. 50.000 /orang ,3.75,4.3,3.3,3.3,4.0,4.0,Senin - Minggu (06:00 - 22:00),"Tunai,Visa,Master,Debet",no,no,no,no,no,yes,no,no,yes,no,no
