,user_id,resto_id,review_title,overall_rating,review_date,review_helpful_count,review_text
0,stelmaris,1642399871.632668,EVERYTHING'S SO AMAZIIIIINGGGG!!,5.0,2021-10-19,2,"sesuai judul; mulai dr tempatnya (interior, size, vibes) sampai ke F&B yg ditawarkan, semuanya EDAAAAAAANNN!well, sorry kalo agak lebay tapi sejujurnya jenderal kopi ini a complete package for a foodie like me. tempatnya gede banget dgn vibes yg sangat ok utk segala occasion; meeting kerja ok, nyantai ok, dating juga ok. mau datang utk ngopi santai bisa banget, makan kenyang juga bisa, minum alkohol sampai request cocktail yg tdk ada di menu juga bisa.utk makanannya, mungkin dr foto terlihat pasta dgn topping seafood biasa, tp percayalah 1 porsi itu bisa buat kenyang 2 manusia. pasta dgn topping terkomplit dan super ga pelit; potongan salmon, potongan cumi, kerang2 dan itu bahkan ada tiger prawn... semuanya ga amis, porsi banyak, pastanya jg aldente.kalo sekilas liat harga di menu, mungkin ga jauh beda dgn harga2 standar kafe Jakarta, tp percayalah yg disajikan mereka itu dgn porsi double dan kalian pasti kenyang. definitely will back here anytime soon sih "
1,hendy_christianto_chandra,1642399871.632668,Ga balik lagi!,2.8,2021-06-08,2,Tadinya sih penasaran pengen kesini terus pas ada kupon perkul lumayan lah jadi ambil dan datang. Dari segi suasana sih emang cozy banget nyaman buat berlama-lama kesini tapi dari segi harga makanan wow buat saya sih overpriced apalagi rasanya juga ga enak-enak amat biasa aja malahan. Kapok deh rasanya kesini lagi.
2,Indrykh,1642399871.632668,The one of the best cafe in town,4.2,2021-05-22,3,"Pertama dateng kaget banget disambut pelayan serentak ""SIAP JENDERAL"". Tempatnya fancy, service nya oke banget. Untuk makanan aku dan temenku pesen ayam taliwang sama fat boo. Rasanya sambel ayam taliwang nya pedes banget sesuai selera aku. Untuk fat boo nya so so sih. Overall recommended sih cafenya buat nongkrong. 4/5"
3,ana_farkhana,1642399871.632668,Fancy banget,4.0,2021-04-25,0," Kebetulan aku pas ke sini pas bulan puasa. Antisipasi membludak, reservasi dulu. Tapi jika dilihat dari profil IG nya mah emang harus reservasi H-1. Sepertinya ini berlaku ketika bukan jam buka bersama juga. Karena kata adminnya kalau nggak reservasi duluan takut pinuh. "
4,fika_sutanto,1642399871.632668,Tempat nya vintage dan nyaman banget,4.6,2021-04-24,1," Dari pertama tempat ini buka udah langsung tertarik karena penuh banget dan deket dari rumah tinggal ngesot.Saya pesen Iga Rawon (lupa ga ke foto), ini rawon ter the best lah se Bandug Raya, iga nya empuk banget di tambah kuah rawon yang kaya akan rempah dan rasa. Jenderal Kopi ini bikin rawon jadi next level. Klo ke sini wajib coba menu ini tapi dengan harga yang lumayan menurut saya (90k).Kemudian saya pesen Sop Buntut Kuah juga (110K), daging buntut nya lembut, rasa kuah nya juga khas dengan aroma rempah tapi yang unik di dalam kuah nya selain ada potongan wortel, tomat, dan kentang juga ada irisan tipis bengkoang.Lalu tidak lupa juga saya pesen Bitterballen nya (35k), rasa bitterballen yang gurih, tekstur nya juga lembut di dalem kriuk di luar semakin menambah kenikmatan rasa di mulut, sayang nya menurut saya saus utk dipping nya terlalu asam, jadi menutupi gurih rasa bitterballen nya, lbh enak di makan tanpa saus.Minuman nya saya pesan Charcoal Smoothies dan Lychee Smoothies, keduanya seharga 40k. Untuk yang suka manis saya lebih menyarankan pesan yang Charcoal tapi untuk yg suka ada asem2nya lebih baik pesan yang Lychee.Tempat nya nyaman banget, pelayanan nya juga patut di acungi jempol.Salah satu tempat yang masuk ke dalam list Must Try deh. "
5,vhadoll,1642399871.632668,Dimanjakan sekali mata ini,4.2,2021-04-08,2,"Datang ke sini ternyata harus reservasi.nah bagi kalian yang mau datang ke sini ramai-ramai, mending reservasi dulu. berhubung gue cuma berdua dan masih ada space kosong, jadinya ga pake waiting list deh.padahal hari biasa, tapi ramai banget! ga pernah sepi nih lewat sini.benar saja!meski areanya luas banget, tapi sudah banyak terisi. bahkan ada beberapa space yang sudah di reserved.baru masuk saja, mata sudah dimanjakan oleh arsitektur bangunannya.di depan akan disuguhi bangunan khas Belanda. tapi saat masuk ke area dalam, kita akan dimanjakan oleh coffee bar sebagai center.mesin roasting yang besar dan beberapa interior yang sangat wow!pelayanannya sungguh sangat bagus. seperti pelayanan di resto fancy.setelah reservasi, kami diantar ke tempat yang disediakan.lalu memilih menu melalui barcode.saat mau pesan, akan ada waiter yang datang ke meja kita.tinggal duduk manis saja.pesanan pun datang ga pake lama.disajikan secara mewah juga! dan cup untuk cappucino-nya itu besar banget. sekitar 9 ozlangsung seruput. waaahhh kok enak yaaa.bold dan ga foamy. ga kaleng-kaleng sih hahahauntuk palm sugar gandja latte, sempet ngira wah pake ganja? eeiittss egga sama sekali!!!  hahahagandja adalah singkatan dari Gayo dan Djawa.rasanya strong, thick dan ga bikin enek!ini kopi susu khas mereka. sudah minta less sugar dan pas! harus coba kalau ke sini.ngopi berdua saja sudah kembung :'dan ga foto banyak karena penuh :'"
6,beya_egar,1642399871.632668,Pretty awesome,5.0,2021-03-31,2,"I ordered pizza sambal matah and this is my first time to try this food here and the taste is really good, Gabriel come and explain about the pizza and he is so nice to us. For the service also good enough thanks to Rega and Bisma."
7,nabila_yasmin,1642399871.632668,Fancy!,4.4,2021-03-14,1,"Tau tempat ini karna SS dari IGstory teman, eh rupanya dibandung.... soalnya pas aku klik locnya masa di deket semanggi LOL. Udah semangat banget kesini soalnya tempatnya bagussss pasti betah. Disini maksimal 2jam ya gais, kalo emang mau berasa rumah nenek bisa dateng pas baru buka, kyk aku gini HEHE. Disini aku pesan:1 HOT LATTE: disajikan pake underline a.k.a tatakan, ada air mineral+1pcs kukis. Ohyaaaa KUKISNYA MELEMPEM1 ALMOND BOMBOLONI: nah produk ini kurang moist, kurang empuk. Tidak ada filling hanya almond on top, cuma disajikan ada garnish kyk saus vanila/custard gitu. Kurang ah....Ohya next time lah kalo kesini lagi mau pas jam maksi, mau coba menunya, ada western&indo cuisine."
8,christian_lyonal,1642399871.632668,Simple Coffee with Elegant Vibe !,4.2,2021-03-03,2,"#OnalMakan di Bandung pt. 6! Hari ini kesini karena cari-cari coffee shop di daerah Martadinata, dan buka dari app PergiKuliner. Ketemu lah ini ! And wowwwww, as a Jakartans, cukup kaget karena yang dateng kok pake bajunya agak ""glamour"" hahah dan mostly orang lokal jga yang kesiniTempatnya sih jujur bagus banget dan sangat Instagrammable, mejanya juga banyak bangrt for a coffee shop, mereka serve makanan juga disini.For the coffee itself, I ordered Caramel Latte and Ice Cappucino. Andddd...hmmmm, kurang nendang for me, but the caramel helps a lot actually. Maybe next time kesini, mau cobain varian makanannya sih. Selamat mencoba! "
9,irma_dwi,1642399871.632668,Rasanya Indonesia Banget,4.8,2021-02-25,2,"Rasa mantab, porsi dahsyat, tempat nyaman, staff sopan bgt, helpfull, toilet bersih, bagus buat foto2, kekurangannya cm parkirnya aja susah, tp cukup terbantu dgn vallet parking"
10,Detty,1642399871.632668,Review,4.0,2021-02-24,2,RASANYA ENAK. SAYA PESAN YANG JENDRAL BURGER. SUASANA CAFE NYAMAN. TETAPI PARKIR MOBILNYA KURANG LUAS. 
11,aditia_dwy_anggraeny,1642399871.632668,Tempat ngopi ternyaman,5.0,2021-02-24,2,Yang blm pernah kesini wajib bgt deh cobain.. makanannya enak.. kopinya beneran beda..tempat jangan ditnya deh elegan mewaahh...
12,teni_meranti,1642399871.632668,Sirloin Steak,4.0,2021-02-24,2,"Rasa cukup enak, kentang wedges nya enak, yang bikin betah ambience nya."
13,savira_qorry_aina,1642399871.632668,Review Jenderal Kopi,4.4,2021-02-20,3,"Ambience: Tempatnya cozy, enak untuk santai. Pelayannya juga ramah.MenuAsam Iga: Asam dari tomatnya berasa, dagingnya empuk sekaliGepuk: 1 porsi isinya banyak, bumbunya enak dan tidak pedas juga, daging empuk sekaliTumis Genjer: Enak, bumbu dan pedasnya pasSambal Terasi: lumayan pedas dan terasinya terasa"
14,eka.cacaa,1642399871.632668,Jenderal kopi.... SIAP !!,4.4,2021-02-20,0,"Tempatnya luas & aestetic, asik buat ngumpul2.Hazelnut Latte lebih dominan di kopinya, rasa2 hazelnutnya hampir tidak kerasa. Kalo Palm Sugar Gandja Latte nya suka, rasa kopi & gula arennya ngena banget. Nyoba jg dessert yg Es Campur, asli jumbo & lengkap banget."
15,Novita,1642399871.632668,Tongkrongan asikkk !,4.4,2021-02-20,0,"Untuk ke-2 kalinya g kebagian tempat duduk di atas, belum banyak yg dateng tapi penuh dg reservasi2-an, se-asik itu si buat nongkrong2 jd selalu penuh.Kali ini nyoba yg Caesar Salad & Crispy Chicken Salad, kedua-nya ada crispy chickennya, yg bedain di platting-nya disini ada crunchy stick di caesar salad & bawang bombay di chicken salad, kedua-nya creamy, veggies-nya jg fresh2 banget. Pizza Calzone platting-nya juga kece, menyerupai jumbo pastel tapi dengan isian pizza, lumayan banyak isiannya, empuk & gampang banget dipotong. Tetep pesen Es Campur Pemersatu Bangsa untuk dessert-nya, maknyus si karena jumbo & bisa buat sharing2 juga, sayangnya kali ini buahnya hampir g ada, jelly2-nya jg sedikit lebih dominan di serpihan roti.Ice Hazelnut Latte lebih dominan di coffee-nya, kalo Ice Palm Sugar Gandja Latte sendiri kopi & gula arennya ngena banget, manisnya jg pas."
16,danubratagirls,1642399871.632668,Makan pagi,4.6,2021-02-19,2,"Tempat luas, banyak area terbuka. Pizza cheesenya ok dan mochanya pas. Pelayanan cepat dan ramah. "
17,meiria_jubilanti,1642399871.632668,Recommended!,4.6,2021-02-18,2,"Tempatnya cozy, luas, banyak spot buat foto2, makanan minumannya oke, recommended!"
18,shara_syifaya,1642399871.632668,"Good food, good place, good service..",5.0,2021-02-18,1,"Tempatnya enak dan nyaman, service sangat memuaskan bener2 terbaik. Makanan dan minuman semuanya enak ga ada yg mengecewakan.."
19,bastian_muntu,1642399871.632668,Newly open cafe/resto spot in Bandung,4.2,2021-02-18,2,"First time visit, nice and warm welcome from the staff, service is good, place is nice, clean place, restroom ok, indoor seating area with fresh air and distancing between table to table is just right. Another reccomend new place for meeting or just relaxing. Welldone!"
